CoAgYear|ProjectID|SubprojectID|AmendNo|AmendRefNo|AmendDate|CashOnHand|Carryover|New|Gain|_datecreated|_usercreated|_dateupdated|_userupdated
1|KPIS|BATS|0|||0.00|0.00|6619800.00|0.00||||
1|KPIS|BATS|1|hpy0@cdc.gov|20170824|0.00|0.00|6619800.00|0.00|20170831|kpis-bats|20170831|kpis-bats
1|KPIS|KK|0|||0.00|0.00|311000.00|0.00||||
1|KPIS|LD|0|||0.00|0.00|281000.00|0.00||||
1|KPIS|SR|0|||0.00|0.00|401000.00|0.00||||
1|KPIS|TU|0|||0.00|0.00|604000.00|0.00||||
1|KPIS|UD|0|||0.00|0.00|545000.00|0.00||||
1|KPIS|UD|1|hpy0@cdc.gov|20170824|0.00|0.00|545000.00|0.00|20170831||20170831|
2|KPIS|BATS|0|||804665.50|0.00|5742517.00|0.00||||
2|KPIS|KK|0|||126607.00|0.00|111143.00|0.00||||
2|KPIS|LS|0|||44169.00|0.00|90831.00|0.00||||
2|KPIS|SR|0|||49905.00|128356.00|8739.00|0.00||||
2|KPIS|TU|0|||74980.00|181020.00|0.00|0.00||||
2|KPIS|UD|0|||91140.00|154860.00|0.00|0.00||||
