CoAgYear|ProjectID|SubprojectID|DateReceived|ReceiveNo|AmountReceivedUSD|ExchangeRate|AmountReceivedTHB|Gain|ChequeReceived|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|KPIS|BATS|20161025|6|64425.00|34.8300|2243922.75||10170105,10172115|รับเงิน Drawdown งวดที่ 1 จาก สนย. (Cheque#10170105=2,190,450 บาท, Cheque#10172115=53,472.75 บาท)|20170106|kpis-bats|20170113|kpis-bats
1|KPIS|BATS|20161114|2|-1955.21|34.8300|-68100.00||10171030|โอนเงินงวดที่ 1 รพ.เลิดสิน|20170112|kpis-bats|20170112|kpis-bats
1|KPIS|BATS|20161128|4|-2110.24|34.8300|-73500.00||10171036|โอนเงินงวดที่ 1 รพ.ขอนแก่น|20170113|kpis-bats|20170113|kpis-bats
1|KPIS|BATS|20161128|5|-3789.84|34.8300|-132000.00||10171037|โอนเงินงวดที่ 1 รพ.อุดรธานี|20170113|kpis-bats|20170113|kpis-bats
1|KPIS|BATS|20161128|9|-4331.84|34.8300|-150878.00||10171035|โอนเงินงวดที่ 1 รพ.ธรรมศาสตร์|20170113|kpis-bats|20170113|kpis-bats
1|KPIS|BATS|20161228|2|90277.00|35.7600|3228305.52||10172163|รับเงิน Drawdown งวดที่ 2 จาก สนย.|20170113|kpis-bats|20170113|kpis-bats
1|KPIS|BATS|20161229|2|-5770.89|34.8300|-201000.00||10174173|โอนเงินงวดที่ 1 รพ.ศรีนครินทร์|20170113|kpis-bats|20170113|kpis-bats
1|KPIS|BATS|20170104|2|-3859.06|35.7600|-138000.00||10174186|โอนเงินงวดที่ 2 รพ.อุดรธานี|20170201|kpis-bats|20170201|kpis-bats
1|KPIS|BATS|20170104|4|-2223.16|35.7600|-79500.00||10174187|โอนเงินงวดที่ 2 รพ.ขอนแก่น|20170201|kpis-bats|20170201|kpis-bats
1|KPIS|BATS|20170104|6|-4328.86|35.7600|-154800.00||10174188|โอนเงินงวดที่ 2 รพ.ธรรมศาสตร์|20170201|kpis-bats|20170201|kpis-bats
1|KPIS|BATS|20170104|8|-2052.57|35.7600|-73400.00||10174189|โอนเงินงวดที่ 2 รพ.เลิดสิน|20170201|kpis-bats|20170201|kpis-bats
1|KPIS|BATS|20170320|3|8844.00|35.7600|316261.44||10181822|รับเงิน Drawdown เพิ่มเติมงวดที่ 2 จาก สนย.|20170418|kpis-bats|20170508|kpis-bats
1|KPIS|BATS|20170322|2|-2726.51|35.7600|-97500.00||10193867|โอนเงินงวดที่ 2 รพ.ศรีนครินทร์|20170418|kpis-bats|20170418|kpis-bats
1|KPIS|BATS|20170407|2|-4100.00|35.7600|-146616.00||10193890|โอนเงินงวดที่ 3 รพ.ธรรมศาสตร์|20170508|kpis-bats|20170508|kpis-bats
1|KPIS|BATS|20170407|4|-3691.28|35.7600|-132000.00||10193891|โอนเงินงวดที่ 3 รพ.อุดรธานี|20170508|kpis-bats|20170508|kpis-bats
1|KPIS|BATS|20170407|6|-2050.00|35.7600|-73308.00||10193892|โอนเงินงวดที่ 3 รพ.เลิดสิน|20170508|kpis-bats|20170508|kpis-bats
1|KPIS|BATS|20170424|2|-2300.00|35.7600|-82248.00||10193897|โอนเงินงวดที่ 3 รพ.ขอนแก่น|20170508|kpis-bats|20170508|kpis-bats
1|KPIS|BATS|20170428|2|74000.00|34.2788|2536631.20||10181830|รับเงิน Drawdown งวดที่ 3 จาก สนย.|20170601|kpis-bats|20170601|kpis-bats
1|KPIS|BATS|20170517|13|-2800.00|35.7600|-100128.00||10193948|โอนเงินงวดที่ 3 รพ.ศรีนครินทร์|20170601|kpis-bats|20170807|kpis-bats
1|KPIS|BATS|20170707|2|6500.00|33.7900|219635.00||10181863|รับเงิน Drawdown งวดที่ 4 จาก สนย.|20170808|kpis-bats|20170808|kpis-bats
1|KPIS|KK|20161128|1|2110.24|34.8300|73500.00||10171036|รับเงินโอนงวดที่ 1 จาก สอวพ.|20170201|kpis-kk|20170201|kpis-kk
1|KPIS|KK|20170104|2|2223.16|35.7600|79500.00||10174187|รับเงินโอนงวดที่ 2 จาก สอวพ.|20170206|kpis-kk|20170206|kpis-kk
1|KPIS|KK|20170424|2|2300.00|35.7600|82248.00||10193897|รับเงินโอนงวดที่ 3 จาก สอวพ.|20170511|kpis-kk|20170511|kpis-kk
1|KPIS|LD|20161114|1|1955.21|34.8300|68100.00||10171030|รับเงินโอนงวดที่1 จาก สอวพ.|20170206|kpis-ld|20170206|kpis-ld
1|KPIS|LD|20170104|2|2052.57|35.7600|73400.00||10174189|รับเงินโอนงวดที่2 จาก สอวพ.|20170206|kpis-ld|20170206|kpis-ld
1|KPIS|LD|20170407|2|2050.00|35.7600|73308.00||10193892|รับเงินโอนงวดที่3 จาก สอวพ.|20170505|kpis-ld|20170505|kpis-ld
1|KPIS|SR|20161229|1|5770.89|34.8300|201000.00||10174173|รับโอนเงินงวดที่ 1 จาก สอวพ.|20170116|kpis-sr|20170116|kpis-sr
1|KPIS|SR|20170322|2|2726.51|35.7600|97500.00||10193867|รับโอนเงินงวดที่ 2 จาก สอวพ.|20170407|kpis-sr|20170407|kpis-sr
1|KPIS|SR|20170517|2|2800.00|35.7600|100128.00||10193948|รับโอนเงินงวดที่ 3 จาก สอวพ.|20170607|kpis-sr|20170607|kpis-sr
1|KPIS|TU|20161128|1|4331.84|34.8300|150878.00||10171035|รับเงินโอนงวดที่ 1 จาก สอวพ.|20170207|kpis-tu|20170207|kpis-tu
1|KPIS|TU|20170104|2|4328.86|35.7600|154800.00||10174188|รับเงินโอนงวดที่ 2 จาก สอวพ.|20170207|kpis-tu|20170207|kpis-tu
1|KPIS|TU|20170407|2|4100.00|35.7600|146616.00||10193890|รับเงินโอนงวดที่ 3 จาก สอวพ.|20170518|kpis-tu|20170518|kpis-tu
1|KPIS|UD|20161128|1|3789.84|34.8300|132000.00||10171037|รับเงินโอนงวดที่ 1 จาก สอวพ.|20170203|kpis-ud|20170203|kpis-ud
1|KPIS|UD|20170104|2|3859.06|35.7600|138000.00||10174186|รับเงินโอนงวดที่ 2 จาก สอวพ.|20170206|kpis-ud|20170206|kpis-ud
1|KPIS|UD|20170407|2|3691.28|35.7600|132000.00||10193891|รับเงินโอนงวดที่ 3 จาก สอวพ.|20170518|kpis-ud|20170518|kpis-ud
