CoAgYear|ProjectID|SubprojectID|AmendNo|AmendRefNo|AmendDate|CashOnHand|Carryover|New|Gain|_datecreated|_usercreated|_dateupdated|_userupdated
1|CARE|COACH|0|||0.00|0.00|3128000.00|0.00||||
1|CARE|COACH|1|vgl9@cdc.gov|20170210|0.00|0.00|3128000.00|0.00|20170210|care-coach|20170210|care-coach
1|CARE|COACH|2|0216/113/17|20170511|0.00|0.00|3872000.00|0.00|20170515|CARE-COACH|20170515|CARE-COACH
1|CARE|COACH|3|Exchange gains|20170428|0.00|0.00|3872000.00|100804.23|20170530|care-coach|20170530|care-coach
1|CARE|COACH|4|vgl9@cdc.gov|20170807|0.00|0.00|3872000.00|100804.23|20170825|care-coach|20170825|care-coach
1|CARE|COACH|5|vgl9@cdc.gov|20170829|0.00|0.00|3872000.00|100804.23|20170829||20170829|
1|CARE|POLICY|0|||0.00|0.00|3128000.00|0.00||||
1|CARE|POLICY|1|vgl9@cdc.gov|20170208|0.00|0.00|3128000.00|0.00|20170531||20170531|
1|CARE|POLICY|2|Exchange gains|20170428|0.00|0.00|3128000.00|101724.04|20170605|care-policy|20170605|care-policy
1|CARE|POLICY|3|vgl9@cdc.gov|20170607|0.00|0.00|3128000.00|101724.04|20170609|care-policy|20170609|care-policy
1|CARE-ACC|-|0|||0.00|0.00|2006000.00|0.00||||
1|CARE-ACC|-|1|hpu8@cdc.gov|20170426|0.00|0.00|2006000.00|0.00|20170427|care-acc|20170427|care-acc
1|CARE-ACC|-|2|Exchange gains|20170707|0.00|0.00|2006000.00|71876.55|20170724||20170724|
1|CARE-ACC|-|3|hpu8@cdc.gov|20170810|0.00|0.00|2006000.00|71876.55|20170810|care-acc|20170810|care-acc
1|CEI2|-|0|||0.00|0.00|1360000.00|0.00||||
1|CEI2|-|1|Exchange gains|20170712|0.00|0.00|1360000.00|38063.67|20170911|cei2|20170911|cei2
1|CU2-MOPH|-|0|||0.00|0.00|5416234.00|0.00||||
1|CU2-MOPH|-|1|hpu7@cdc.gov|20170717|0.00|0.00|5416234.00|0.00|20170728|cu2-moph|20170728|cu2-moph
1|DGHP-BSI-NP|-|0|||0.00|0.00|4148000.00|0.00||||
1|DGHP-BSI-NP|-|1|Somsak Thamthitiwat (hpv2@cdc.gov)|20170620|0.00|0.00|4148000.00|0.00|20170620|dghp-bsi-np|20170620|dghp-bsi-np
