CoAgYear|ProjectID|SubprojectID|AmendNo|AmendRefNo|AmendDate|CashOnHand|Carryover|New|Gain|_datecreated|_usercreated|_dateupdated|_userupdated
1|PrEP2START-SL|LAB|0|||0.00|0.00|1050000.00|0.00||||
1|PrEP2START-SL|LAB|1|Approved by hqm3@cdc.gov|20170509|0.00|0.00|1050000.00|0.00|20170519||20170519|
1|PrEP2START-SL|LAB|2|Exchange gains|20170707|0.00|0.00|1050000.00|21696.63|20170810||20170810|
1|PrEP2START-SL|SL-BATS|0|||0.00|0.00|5578566.00|0.00||||
1|PrEP2START-SL|SL-BATS|1|hpy0@cdc.gov|20170426|0.00|0.00|5816566.00|0.00|20170515|prep2start-sl-bats|20170515|prep2start-sl-bats
1|PrEP2START-SL|SL-BATS|2|Exchange gains|20170807|0.00|0.00|5816566.00|13582.67|20170906||20170906|
1|PrEP2START-SL|SL-BATS|3|hpy0@cdc.gov|20170830|0.00|0.00|5816566.00|13582.67|20170906||20170906|
1|PrEP2START-SL|SL-BR|0|||0.00|0.00|1145000.00|0.00||||
1|PrEP2START-SL|SL-BR|1|hpy0@cdc.gov|20170426|0.00|0.00|695000.00|0.00|20170515|prep2start-sl-br|20170515|prep2start-sl-br
1|PrEP2START-SL|SL-Care|0|||0.00|0.00|590000.00|0.00||||
1|PrEP2START-SL|SL-Care|1|hpy0@cdc.gov|20170426|0.00|0.00|660000.00|0.00|20170515|prep2start-sl-care|20170515|prep2start-sl-care
1|PrEP2START-SL|SL-Care|2|hpy0@cdc.gov|20170830|0.00|0.00|660000.00|0.00|20170906|prep2start-sl-care|20170906|prep2start-sl-care
1|PrEP2START-SL|SL-KK|0|||0.00|0.00|1296000.00|0.00||||
1|PrEP2START-SL|SL-KK|1|hpy0@cdc.gov|20170426|0.00|0.00|1438000.00|0.00|20170517|prep2start-sl-kk|20170517|prep2start-sl-kk
1|PrEP2START-SL|SL-KK|2|hpy0@cdc.gov|20170830|0.00|0.00|1438000.00|0.00|20170906|prep2start-sl-kk|20170906|prep2start-sl-kk
1|PrEP2START-SL|SL-UD|0|||0.00|0.00|1292400.00|0.00||||
1|PrEP2START-SL|SL-UD|1|hpy0@cdc.gov|20170426|0.00|0.00|1292400.00|0.00|20170515|prep2start-sl-ud|20170515|prep2start-sl-ud
1|PrEP2START-SL|SL-UD|2|hpy0@cdc.gov|20170830|0.00|0.00|1292400.00|0.00|20170906|prep2start-sl-ud|20170906|prep2start-sl-ud
1|PrEP2START-SL|SU|0|||0.00|0.00|4156110.00|0.00||||
1|PrEP2START-SL|SU|1|vgl9@cdc.gov|20170516|0.00|0.00|4156110.00|0.00|20170518|prep2start-su|20170518|prep2start-su
1|PrEP2START-SL|SU|2|Exchange gains|20170707|0.00|0.00|4156110.00|120690.85|20170719|prep2start-su|20170719|prep2start-su
1|PrEP2START-SL|SU|3|vgl9@cdc.gov|20170829|0.00|0.00|4156110.00|120690.85|20170829|prep2start-su|20170829|prep2start-su
2|PrEP2START-SL|BATS|0|||1315414.45|281529.86|4816658.00|0.00||||
2|PrEP2START-SL|BR|0|||27954.00|0.00|602500.00|0.00||||
2|PrEP2START-SL|CARE|0|||0.00|0.00|827768.00|0.00||||
2|PrEP2START-SL|KK|0|||35143.48|0.00|979400.00|0.00||||
2|PrEP2START-SL|PK|0|||0.00|0.00|769540.00|0.00||||
2|PrEP2START-SL|UD|0|||72231.98|0.00|866540.00|0.00||||
