CoAgYear|ProjectID|SubprojectID|DateReceived|ReceiveNo|AmountReceivedUSD|ExchangeRate|AmountReceivedTHB|Gain|ChequeReceived|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|CARE|COACH|20161025|2|23000.00|34.8300|801090.00||10170101|1st Draw down : September - November 2016 : #10170101 (782,000.-) #10172111 (19,090.-)|20170126|care-coach|20170126|care-coach
1|CARE|COACH|20161219|8|29809.88|34.8300|1038278.15||10172157,58|1st Draw down # 2|20170127|care-coach|20170127|care-coach
1|CARE|COACH|20161228|6|26968.12|35.7600|964379.89||10172159|2nd Draw down December 2016 - March 2017|20170127|care-coach|20170127|care-coach
1|CARE|COACH|20170428|1|34104.35|34.2788|1169056.19||10181825|3rd Draw down April - August 2017|20170530|care-coach|20170530|care-coach
1|CARE|POLICY|20161025|1|23000.00|34.8300|801090.00||10170102 , 10172112|ได้รับเงินงวดที่ 1 เมื่อวันที่ 25 ต.ค. 59 จำนวนเงิน 23000 USD (782000+19090 = 801090 บาท) #10170102 , #10172112|20170131|care-policy|20170131|care-policy
1|CARE|POLICY|20161228|1|23694.00|35.7600|847297.44||10172160|ได้รับเงินงวดที่ 2 เมื่อวันที่ 28 ธ.ค. 59 จำนวนเงิน 23694 USD (805,596+41701.44 = 847,297.44)|20170201|care-policy|20170201|care-policy
1|CARE|POLICY|20170320|1|19107.00|35.7600|683266.32||10181821|ได้รับเงินงวดที่ 3 เมื่อวันที่ 20 มี.ค.60|20170531||20170531|
1|CARE|POLICY|20170428|1|26199.00|34.2788|898070.28||10181826|ได้รับเงินงวดที่ 4 เมื่อวันที่ 28 เม.ย.60|20170605|care-policy|20170605|care-policy
1|CARE-ACC|-|20161025|3|14750.00|34.8300|513742.50||10170103|#10172113 จำนวน 12,242.50 บาท เงินงวดที่ 1|20170202|care-acc|20170203|care-acc
1|CARE-ACC|-|20161228|1|32755.00|35.7600|1171318.80||10172161|เงินงวดที่ 2|20170203|care-acc|20170203|care-acc
1|CARE-ACC|-|20170428|1|9000.00|34.2788|308509.20||10181828|เงินงวดที่ 3|20170503|care-acc|20170503|care-acc
1|CARE-ACC|-|20170707|1|2495.00|33.7900|84306.05||10181861|เงินงวดที่ 4|20170724||20170724|
1|CEI2|-|20161025|3|10000.00|34.8300|348300.00||10170112|เช็ค#1 10170112=340,000฿,เช็ค#2 10172122=8,300฿|20170117|cei2|20170126|cei2
1|CEI2|-|20161228|3|17835.00|35.7600|637779.60||10172178|เงินโอนงวดที่ 2|20170117|cei2|20170126|cei2
1|CEI2|-|20170428|2|1900.00|34.2788|65129.72||10181845|เงินโอนงวดที่ 3|20170613|cei2|20170613|cei2
1|CEI2|-|20170712|1|10265.00|33.7900|346854.35||10181876|เงินโอนงวดที่ 4|20170911|cei2|20170911|cei2
1|CU2-MOPH|-|20161025|1|31860.20|34.8300|1109690.77||10170111|ครั้งที่ 1/FY2017 เช็ค 1017011 = 1,083,246  เช็ค 10172121 = 26,443.97|20170215|CU2-MoPH|20170215|CU2-MoPH
1|CU2-MOPH|-|20161228|2|35771.80|35.7600|1279199.57||10172197|ครั้งที่ 2/FY2017|20170215|cu2-moph|20170215|cu2-moph
1|CU2-MOPH|-|20170428|3|53647.65|34.2788|1838977.07||10181844|ครั้งที่ 3/FY2017|20170611|cu2-moph|20170728|cu2-moph
1|CU2-MOPH|-|20170726|1|12277.71|33.7900|414863.82||10181888|ครั้งที่ 4/โ2017|20170728|cu2-moph|20170728|cu2-moph
