CoAgYear|ProjectID|SubprojectID|AmendNo|AmendRefNo|AmendDate|CashOnHand|Carryover|New|Gain|_datecreated|_usercreated|_dateupdated|_userupdated
1|CEI1|-|0|||0.00|0.00|1190000.00|0.00||||
1|CEI1|-|1|Exchange gains|20170726|0.00|0.00|1190000.00|21410.42|20170911|cei1|20170911|cei1
1|CU1-MOPH|-|0|||0.00|0.00|6399072.00|0.00||||
1|CU1-MOPH|-|1|hpu2@cdc.gov|20170717|0.00|0.00|6399072.00|0.00|20170724|cu1-moph|20170724|cu1-moph
1|CU1-MOPH|-|2|Exchange gains|20170726|0.00|0.00|6399072.00|9873.16|20170731|cu1-moph|20170731|cu1-moph
1|CU1-MOPH|-|3|hpu2"cdc.gov|20170823|0.00|0.00|6399072.00|9873.16|20170902|cu1-moph|20170902|cu1-moph
1|DGHP-AFI|BIDI|0|||0.00|0.00|9136378.00|0.00||||
1|DGHP-AFI|BIDI|1|hpv2@cdc.gov|20161227|0.00|0.00|9136378.00|0.00|20170111|dghp-afi-bidi|20170111|dghp-afi-bidi
1|DGHP-AFI|BIDI|2|hpv2@cdc.gov|20170710|0.00|0.00|9136378.00|0.00|20170711|dghp-afi-bidi|20170711|dghp-afi-bidi
1|DGHP-AFI|BIDI|3|hpv2@cdc.gov|20170822|0.00|0.00|9136378.00|0.00|20170823||20170823|
1|DGHP-AFI|NP|0|||0.00|0.00|27860178.00|0.00||||
1|DGHP-AFI|NP|1|0205.15/11498|20170508|0.00|0.00|33643578.00|0.00|20170531|dghp-afi-np|20170531|dghp-afi-np
1|DGHP-AFI|NP|2|0205.15/16213|20170614|0.00|0.00|28738058.00|0.00|20170619||20170619|
1|DGHP-AFI|NP|3|hpv2@cdc.gov|20170804|0.00|0.00|28738058.00|0.00|20170817|dghp-afi-np|20170817|dghp-afi-np
1|DGHP-AFI|NP|4|Thamthitiwat, Somsak (CDC/CGH/DGHP) <hpv2@cdc.gov>|20170831|0.00|0.00|28738058.00|0.00|20170831|dghp-afi-np|20170831|dghp-afi-np
1|DGHP-AFI|TAK|0|||0.00|0.00|12602576.00|0.00||||
1|DGHP-AFI|TAK|1|Thamthitiwat, Somsak (CDC/CGH/DGHP) <hpv2@cdc.gov>|20170111|0.00|0.00|12602576.00|0.00|20170122||20170122|
1|DGHP-AFI|TAK|2|สธ 0205.15/7280|20170601|0.00|0.00|12602576.00|0.00|20170605|DGHP-AFI-TAK|20170605|DGHP-AFI-TAK
1|DGHP-AFI|TAK|3|Bhengsri, Saithip (CDC/CGH/DGHP) <hpx4@cdc.gov>|20170602|0.00|0.00|12602576.00|0.00|20170606|DGHP-AFI-TAK|20170606|DGHP-AFI-TAK
