CoAgYear|ProjectID|SubprojectID|ProjectCoordinator
1|CEI1|-|
1|CU1-MOPH|-|
1|DGHP-AFI|BIDI|
1|DGHP-AFI|NP|
1|DGHP-AFI|TAK|
1|DGHP-PrOZINT|BIDI|
1|DGHP-PrOZINT|BU|
1|DGHP-PrOZINT|MH|
1|FLU-Pregnancy|-|
1|FLU-VENetwork|-|
1|HSRP-ALLO|-|
1|HSRP-COH|-|
1|HSRP-COMBO|-|
1|HSRP-HPTN083|-|
1|HSRP-YMSM|-|
1|HSRP-Main|-|
1|HSRP-MTN026|-|
2|CU1-MOPH|-|
2|DGHP-AFI|BIDI|
2|DGHP-AFI|NP|
2|DGHP-AFI|TAK|
2|DGHP-PrOZINT|BIDI|
2|DGHP-PrOZINT|BU|
2|DGHP-PrOZINT|MH|
2|DGHP-ZIKV-Ento|-|
2|Flu-Communication|-|
2|FLU-Pregnancy|-|
2|FLU-VENetwork|-|
2|HSRP-COMBO|-|
2|HSRP-YMSM|-|
2|HSRP-Main|-|
2|HSRP-MTN026|-|
