CoAgYear|ProjectID|SubprojectID|DateReceived|ReceiveNo|AmountReceivedUSD|ExchangeRate|AmountReceivedTHB|Gain|ChequeReceived|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|CEI1|-|20161025|4|8750.00|34.8300|304762.50||10170084,96|เช็ค#1เลขที่ 84=297,500฿,เช็ค#2เลขที่ 96=7,262.50฿.|20170116|cei1|20170126|cei1
1|CEI1|-|20161228|4|12390.00|34.8300|431543.75||10172007|เงินโอนงวดที่ 2|20170117|cei1|20170203|cei1
1|CEI1|-|20170428|2|13000.00|34.2788|445624.40||10172018|เงินโอนงวดที่ 3|20170613|cei1|20170613|cei1
1|CEI1|-|20170726|1|860.00|34.2788|29479.77||10172030|เงินโอนงวดที่ 3 ครั้งที่ 2|20170911|cei1|20170911|cei1
1|CU1-MOPH|-|20161025|3|37641.60|34.8300|1311056.93||10170085, 0097|รับเงินงวดที่ 1|20170204|cu1-moph|20170930|cu1-moph
1|CU1-MOPH|-|20161228|1|34639.40|34.8300|1206490.30||10172008|รับเงินงวดที่ 2|20170204|cu1-moph|20170204|cu1-moph
1|CU1-MOPH|-|20170428|1|73000.00|34.2788|2502352.40||10172019|รับเงินงวดที่ 3|20170603|cu1-moph|20170930|cu1-moph
1|CU1-MOPH|-|20170726|2|40522.00|34.2788|1389045.53||10172031|รับเงินงวดที่ 3 ครั้งที่ 2|20170731|cu1-moph|20170930|cu1-moph
1|DGHP-AFI|BIDI|20161025|3|10606.25|34.8300|369415.68||10170092|1st Draw down 10170092 received 360,612.48, 10172004 received 8,803.20|20170109|dghp-afi-bidi|20170117|dghp-afi-bidi
1|DGHP-AFI|BIDI|20161228|2|123598.75|35.7600|4419891.30||10172015|2nd Draw down|20170117|dghp-afi-bidi|20170117|dghp-afi-bidi
1|DGHP-AFI|BIDI|20170428|1|80000.00|34.2788|2742304.00||10172026|3rd Draw down|20170504|dghp-afi-bidi|20170504|dghp-afi-bidi
