SubprojectID|SubprojectName
-|
BATS|Bureau of AIDS, TB and STI
BIDI|Bamrasnaradura Infectious Diseases Institute
CBO|CBO
COACH|Strengthening systems for HIV monitoring, supervision, and coaching
DTU|Data Utilization - National AIDS Management (NAMc)
KK|Khon Kaen
LAB|Strengthening systems and capacity for improved laboratory quality in priority provinces to improve the HIV cascade
LD|Lerdsin Hospital
MIS|Informatics - Bureau of AIDS, TB and STI (BATS)
NP|Nakhon Phanom Province
PCM-HF|PCM-HF
PIF|PEPFAR Incentive Fund
POLICY|Promoting and building capacity among policy makers and public health leaders to support sustainable pre-exposure prophylaxis policy and financing
PS-ITC|
S&D|S&D
SR|Srinagarind Hospital
SRR|
SU|Scaling up evidence-based pre-exposure prophylaxis as a comprehensive HIV intervention model
SUR|Surveillance - Bureau of Epidemiology (BOE)
TAK|Tak Province
TU|Thammasat Hospital
UD|Udon Thani
