CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|AmendNo|ItemDescription|ItemDescriptionD|Restrict|CashOnHand|Carryover|New|Total|Unit|Qty|OP1|OP2|OP3|OP4|OP5|_datecreated|_usercreated|_dateupdated|_userupdated
1|KPIS|UD|5|1|0|UD: Office supplies and printing|||0.00|0.00|14000.00|14000.00|Year|1|14000.00||||||||
1|KPIS|UD|8|1|0|UD: Communication cost|(telephone and internet)||0.00|0.00|24000.00|24000.00|Month|12|||||2000.00||||
1|KPIS|UD|8|2|0|UD: Lab and medical fee|||0.00|0.00|110000.00|110000.00|Year|1|||||110000.00||||
1|KPIS|UD|8|2|1|UD: Lab and medical fee||||||109700.00|Year|1|||||109700.00|20170831||20170831|
1|KPIS|UD|8|3|0|UD: Compensation for participants|(follow-up visits)||0.00|0.00|385000.00|385000.00|Time|1|770.00|1.00|500.00|0.00|0.00||||
1|KPIS|UD|8|4|0|UD: Progress meeting|||0.00|0.00|12000.00|12000.00|Time|2|10.00|1.00|500.00|0.00|1000.00||||
1|KPIS|UD|8|5|0|UD: Compensation for PDI recruitment|||0.00|0.00|-0.00|0.00|Time|0|0.00|0.00|0.00|0.00|0.00||||
1|KPIS|UD|8|5|1|UD: Compensation for PDI recruitment||||||300.00|Time|1|3.00|1.00|100.00|0.00|0.00|20170831||20170831|
2|KPIS|UD|5|2|0|UD: Office supplies and printing|||0.00|8000.00|-0.00|8000.00|Year|1|8000.00|||||20170320||20170328|
2|KPIS|UD|8|1|0|UD: Lab and medical fee|||31140.00|29860.00|-0.00|61000.00|Year|1|||||61000.00|20170320||20171113|
2|KPIS|UD|8|2|0|UD: Compensation for participants|(follow-up visits)||60000.00|85000.00|-0.00|145000.00|Time|1|290.00|1.00|500.00|0.00|0.00|20170320||20171113|
2|KPIS|UD|8|3|0|UD: Progress meeting|||0.00|10000.00|-0.00|10000.00|Time|2|10.00|1.00|500.00|0.00|0.00|20170320||20171113|
2|KPIS|UD|8|4|0|UD: Communication cost|(telephone and internet)||0.00|22000.00|-0.00|22000.00|Month|11|||||2000.00|20170320||20171113|
