CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|AmendNo|ItemDescription|ItemDescriptionD|Restrict|CashOnHand|Carryover|New|Total|Unit|Qty|OP1|OP2|OP3|OP4|OP5|_datecreated|_usercreated|_dateupdated|_userupdated
1|DGHP-Farmer|-|1|1|0|Project Coordinator|Ms. Apiladee Soonngam||0.00|0.00|294000.00|294000.00|Person|1|100.00|12.00|24500.00||||||
1|DGHP-Farmer|-|1|2|0|Programmer (Part-time)|Ms.Prapasree Thiengtham||0.00|0.00|58800.00|58800.00|Person|1|20.00|12.00|24500.00|||||20170328|dghp-farmer
1|DGHP-Farmer|-|1|3|0|Data analysis Officer (Part-time)|Mrs. Punnarai Smithsuwan||0.00|0.00|126500.00|126500.00|Person|1|50.00|11.00|23000.00||||||
1|DGHP-Farmer|-|1|4|0|Compensation for government officers at MoPH|($2.06 or 70 Baht x 40 hours/month x 12 months) x 2 persons||0.00|0.00|67200.00|67200.00|Annual||||||||||
1|DGHP-Farmer|-|2|1|0|Program Coordinator|Ms. Apiladee Soonngam||0.00|0.00|9000.00|9000.00|Person|1|294000.00|5.00|||||||
1|DGHP-Farmer|-|2|2|0|Annual Medical Check-up for full time staff|($58.82 or 2,000 Baht) x 1 person||0.00|0.00|2000.00|2000.00|Annual||||||||||
1|DGHP-Farmer|-|3|1|0|Meeting with stakeholders to develop data collection instruments|Non-Local Participants and MoPH||0.00|0.00|19200.00|19200.00|Time|4|8.00|1.00|600.00|0.00|0.00||||
1|DGHP-Farmer|-|3|1|3|Meeting with stakeholders to develop data collection instruments|Non-Local Participants and MoPH|||||11400.00|Time|4|4.00|2.00|340.00|0.00|130.00|20170825|DGHP-FARMER|20170825|DGHP-FARMER
1|DGHP-Farmer|-|3|2|0|A three-day workshop on event-based surveillance to reduce the burden of respiratory diseases|Non-Local Participants||0.00|0.00|280000.00|280000.00|Time|1|25.00|3.00|2000.00|5200.00|0.00||||
1|DGHP-Farmer|-|3|2|1|A three-day workshop on event-based surveillance to reduce the burden of respiratory diseases|Non-Local Participants|||||136850.00|Time|1|9.00|6.00|2000.00|3150.00|500.00|20170328|dghp-farmer|20170328|dghp-farmer
1|DGHP-Farmer|-|3|3|0|A refresher workshop on event-based surveillance|Non-Local Participants||0.00|0.00|230000.00|230000.00|Time|1|25.00|2.00|2000.00|5200.00|0.00||||
1|DGHP-Farmer|-|3|3|1|A refresher workshop on event-based surveillance|Non-Local Participants|||||130000.00|Time|1|8.00|6.00|2000.00|4250.00|0.00|20170328|dghp-farmer|20170328|dghp-farmer
1|DGHP-Farmer|-|3|3|3|A refresher workshop on event-based surveillance|Non-Local Participants|||||196140.00|Time|1|11.00|6.00|2000.00|5820.00|120.00|20170825|DGHP-FARMER|20170825|DGHP-FARMER
1|DGHP-Farmer|-|3|4|0|Site visit and data collection for non-local participants to monitor and evaluation|Non-Local Participants||0.00|0.00|294400.00|294400.00|Time|8|4.00|2.00|2000.00|5200.00|0.00||||
1|DGHP-Farmer|-|3|4|3|Site visit and data collection for non-local participants to monitor and evaluation|Non-Local Participants|||||229703.00|Time|5|4.00|3.00|2000.00|5300.00|740.60|20170825|DGHP-FARMER|20170825|DGHP-FARMER
1|DGHP-Farmer|-|3|5|0|Presenting at international meeting/conference|||0.00|0.00|95200.00|95200.00|Time|1|1.00|4.00|6300.00|45000.00|25000.00||||
1|DGHP-Farmer|-|3|5|1|Presenting at international meeting/conference||||||90543.00|Time|1|1.00|5.00|10960.00|30657.00|5086.00|20170328|dghp-farmer|20170328|dghp-farmer
1|DGHP-Farmer|-|4|1|0|Notebook Computer|||0.00|0.00|25000.00|25000.00|Set|1|25000.00||||||||
1|DGHP-Farmer|-|4|1|1|Notebook Computer||||||24999.48|Set|1|24999.48|||||20170328|dghp-farmer|20170328|dghp-farmer
1|DGHP-Farmer|-|5|1|0|General Office Supplies|Stationeries,paper, paper clips, ink cartridge etc.||0.00|0.00|21880.00|21880.00|Time|2|10940.00||||||||
1|DGHP-Farmer|-|5|1|1|General Office Supplies|Stationeries,paper, paper clips, ink cartridge etc.|||||21880.52|Time|1|21880.52|||||20170328|dghp-farmer|20170328|dghp-farmer
1|DGHP-Farmer|-|8|1|0|Technical meeting for local participants at BOE office|Local Participants||0.00|0.00|12000.00|12000.00|Time|4|5.00|1.00|600.00|0.00|0.00||||
1|DGHP-Farmer|-|8|2|0|Printing a guideline of event-based surveillance|||0.00|0.00|35000.00|35000.00|Set|100|||||350.00||||
