CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|SpendNo|SpendDescription|DateSpent|AmountSpent|ChequeSpent|DateAdjusted|AmountAdjusted|ChequeAdjusted|DateObligated|AmountObligated|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|SI|MIS|1|1|1|MIS-ART: Full time BATS coordinator |20161031|23572.58|10174004|20161031|750.00|10174001|||ตุลาคม 2559 ประกันสังคม 750|20170207|si-mis|20170207|si-mis
1|SI|MIS|1|1|3|MIS-ART: Full time BATS coordinator |20161130|25250.00|10174007|20161130|750.00|10174010|||พฤศจิกายน 2559 ประกันสังคม 750|20170207|si-mis|20170207|si-mis
1|SI|MIS|1|1|4|MIS-ART: Full time BATS coordinator |20161230|25250.00|10174017|20161230|750.00|10174020|||ธันวาคม 2559 ประกันสังคม 750|20170207|si-mis|20170207|si-mis
1|SI|MIS|1|1|5|MIS-ART: Full time BATS coordinator |20170131|25250.00|10185888|20170131|750.00|10185891|||มกราคม 2560 ประกันสังคม 750|20170207|si-mis|20170207|si-mis
1|SI|MIS|1|1|7|MIS-ART: Full time BATS coordinator |20170228|25250.00|10185896|20170228|750.00|10185899|||กุมภาพันธ์ 2560 ประกันสังคม 750|20170308|si-mis|20170308|si-mis
1|SI|MIS|1|1|9|MIS-ART: Full time BATS coordinator |20170331|24250.00|10185912|20170331|750.00|10185915|||มีนาคม 2560 ประกันสังคม 750|20170502||20170502|
1|SI|MIS|1|1|12|MIS-ART: Full time BATS coordinator |20170428|25250.00|10185918|20170428|750.00|10185921|||เมษายน 2560 ประกันสังคม 750|20170612|si-mis|20170612|si-mis
1|SI|MIS|1|1|13|MIS-ART: Full time BATS coordinator |20170531|25250.00|10185926|20170531|750.00|10185929|||พฤษภาคม 2560 ประกันสังคม 750|20170613|si-mis|20170613|si-mis
1|SI|MIS|1|1|15|MIS-ART: Full time BATS coordinator (10 Months X 26,000 b)+(1 Month X 24,322.58 b)|20170630|25250.00|10220143|20170630|750.00|10220146|||มิถุนายน 2560 ประกันสังคม 750|20170711|si-mis|20170711|si-mis
1|SI|MIS|1|1|16|MIS-ART: Full time BATS coordinator (10 Months X 26,000 b)+(1 Month X 24,322.58 b)|20170731|25250.00|10220151|20170731|750.00|10220154|||กรกฎาคม 2560 ประกันสังคม 750|20170810|si-mis|20170810|si-mis
1|SI|MIS|1|1|17|MIS-ART: Full time BATS coordinator (10 Months X 26,000 b)+(1 Month X 24,322.58 b)|20170831|25250.00|10220159|20170831|750.00|10220162|||สิงหาคม 2560 ประกันสังคม 750|20170912|si-mis|20170912|si-mis
1|SI|MIS|1|1|18|MIS-ART: Full time BATS coordinator |20170331|1000.00|10185916||||||เบิกเพิ่มเงินเดือน มีนาคม 2560|20170502||20170912|si-mis
1|SI|MIS|1|2|2|MIS-ART: Full time BATS project secretary |20161031|47000.00|10174002|20161031|1500.00|10174001|||กันยายน-ตุลาคม 2559 ประกันสังคม 1,500|20170207|si-mis|20170207|si-mis
1|SI|MIS|1|2|4|MIS-ART: Full time BATS project secretary |20161130|23500.00|10174009|20161130|750.00|10174010|||พฤศจิกายน 2559 ประกันสังคม 750|20170207|si-mis|20170207|si-mis
1|SI|MIS|1|2|5|MIS-ART: Full time BATS project secretary |20161230|23500.00|10174019|20161230|750.00|10174020|||ธันวาคม 2559 ประกันสังคม 750|20170207|si-mis|20170207|si-mis
1|SI|MIS|1|2|6|MIS-ART: Full time BATS project secretary |20170131|23500.00|10185890|20170131|750.00|10185891|||มกราคม 2560 ประกันสังคม 750|20170207|si-mis|20170207|si-mis
1|SI|MIS|1|2|9|MIS-ART: Full time BATS project secretary |20170228|23500.00|10185898|20170228|750.00|10185899|||กุมภาพันธ์ 2560 ประกันสังคม 750|20170308|si-mis|20170308|si-mis
1|SI|MIS|1|2|11|MIS-ART: Full time BATS project secretary |20170331|23500.00|10185914|20170331|750.00|10185915|||มีนาคม 2560 ประกันสังคม 750|20170502||20170502|
1|SI|MIS|1|2|13|MIS-ART: Full time BATS project secretary |20170428|23500.00|10185920|20170428|750.00|10185921|||เมษายน 2560 ประกันสังคม 750|20170612|si-mis|20170612|si-mis
1|SI|MIS|1|2|14|MIS-ART: Full time BATS project secretary |20170531|23500.00|10185928|20170531|750.00|10185929|||พฤษภาคม 2560 ประกันสังคม 750|20170613|si-mis|20170613|si-mis
1|SI|MIS|1|2|16|MIS-ART: Full time BATS project secretary |20170630|23500.00|10220145|20170630|750.00|10220146|||มิถุนายน 2560 ประกันสังคม 750|20170711|si-mis|20170711|si-mis
1|SI|MIS|1|2|18|MIS-ART: Full time BATS project secretary |20170731|23500.00|10220153|20170731|750.00|10220154|||กรกฎาคม 2560 ประกันสังคม 750|20170810|si-mis|20170810|si-mis
1|SI|MIS|1|2|19|MIS-ART: Full time BATS project secretary |20170831|23500.00|10220161|20170831|750.00|10220162|||สิงหาคม 2560 ประกันสังคม 750|20170912|si-mis|20170912|si-mis
1|SI|MIS|1|3|1|MIS-ART: Compensation for Government staff (Project manager at BATS) Miss Naparat Patarapayoon|20161230|17100.00|10185883|20161230|900.00|10185885|||กันยายน - พฤศจิกายน 2559|20170207|si-mis|20170207|si-mis
