CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|AmendNo|ItemDescription|ItemDescriptionD|Restrict|CashOnHand|Carryover|New|Total|Unit|Qty|OP1|OP2|OP3|OP4|OP5|_datecreated|_usercreated|_dateupdated|_userupdated
1|GAP-CB|-|1|1|0|Project Investigator|Director of Bureau of Policy and Strategy||0.00|0.00|-0.00|0.00|Person|1|0.00|12.00|0.00||||||
1|GAP-CB|-|1|2|0|Project Manager|Dr.Chakrarat Pittayawonganon||0.00|0.00|-0.00|0.00|Person|1|0.00|12.00|0.00||||||
1|GAP-CB|-|1|3|0|Project Manger Assistant|Dr.Thongthana Permbotsri||0.00|0.00|-0.00|0.00|Person|1|0.00|12.00|0.00||||||
1|GAP-CB|-|1|4|0|Project Manager Assistant|Dr.Chaninan Sonthichai||0.00|0.00|-0.00|0.00|Person|1|0.00|12.00|0.00||||||
1|GAP-CB|-|1|5|0|Project Coordinator|Ms.Nichakorn  Sirikanokvilai||0.00|0.00|-0.00|0.00|Person|1|0.00|12.00|0.00||||||
1|GAP-CB|-|1|6|0|Project Coordinator|Ms.Rossukon  Kangvallert||0.00|0.00|-0.00|0.00|Person|1|0.00|12.00|0.00||||||
1|GAP-CB|-|1|7|0|Project Coordinator (Full Time Staff)|Ms.Runya  Thongdee||0.00|0.00|213696.00|213696.00|Person|1|100.00|12.00|17808.00||||||
1|GAP-CB|-|1|8|0|Overtime for Full time staff : Project Coordinator|Runya  Thongdee (1.76 USD/hr x 20 hrs x 12 months)||0.00|0.00|14400.00|14400.00|Annual||||||||||
1|GAP-CB|-|2|1|0|Project Coordinator|Runya Thongdee||0.00|0.00|9000.00|9000.00|Person|1|213696.00|5.00|||||||
1|GAP-CB|-|2|2|0|Annual Medical Check Up|(58.82 USD x 1 Person)||0.00|0.00|2000.00|2000.00|Annual||||||||||
1|GAP-CB|-|3|1|0|PEPFAR Strategic/Policy advocacy meeting workshop for PEPFAR/M&E Training Workshop|Non-local MOPH||0.00|0.00|90000.00|90000.00|Time|1|10.00|1.00|2000.00|7000.00|0.00||||
1|GAP-CB|-|3|1|1|PEPFAR Strategic/Policy advocacy meeting workshop for PEPFAR/M&E Training Workshop|Non-local MOPH|||||42525.00|Time|1|50.00|1.00|600.00|200.00|2525.00|20170522||20170522|
1|GAP-CB|-|3|2|0|Supervisory Visit/Site Monitoring|Non-local MOPH||0.00|0.00|8000.00|8000.00|Time|2|2.00|1.00|1000.00|1000.00|0.00||||
1|GAP-CB|-|3|2|3|Supervisory Visit/Site Monitoring|Non-local MOPH|||||6000.00|Time|3|1.00|1.00|1000.00|500.00|500.00|20170904|gap-cb|20170904|gap-cb
1|GAP-CB|-|3|3|0|Capacity Building|||0.00|0.00|20000.00|20000.00|Time|2|2.00|2.00|2000.00|1000.00|0.00||||
1|GAP-CB|-|3|3|1|Capacity Building||||||420767.30|Time|1|4.00|6.00|8200.00|47962.50|32117.30|20170522||20170522|
1|GAP-CB|-|3|3|3|Capacity Building||||||322117.30|Time|1|4.00|6.00|5200.00|41300.00|32117.30|20170904|gap-cb|20170904|gap-cb
1|GAP-CB|-|3|4|0|Global Technical Assistance|Training, Workshop, Study Visit, and etc.||0.00|0.00|102000.00|102000.00|Time|3|2.00|3.00|2000.00|10000.00|2000.00||||
1|GAP-CB|-|3|4|1|Global Technical Assistance|Training, Workshop, Study Visit, and etc.|||||0.00|Time|0|0.00|0.00|0.00|0.00|0.00|20170522||20170522|
1|GAP-CB|-|3|5|0|Transportation cost|fuel, toll fee, taxi, van rental for local MOPH||0.00|0.00|10000.00|10000.00|Annual||||||||||
1|GAP-CB|-|3|5|1|Transportation cost|fuel, toll fee, taxi, van rental for local MOPH|||||5000.00|Annual|||||||20170522||20170522|
1|GAP-CB|-|3|6|0|Preparation for Incentive PEPFAR Fund|||0.00|0.00|27000.00|27000.00|Time|1|3.00|2.00|2000.00|5000.00|0.00||||
1|GAP-CB|-|3|6|1|Preparation for Incentive PEPFAR Fund||||||0.00|Time|0|0.00|0.00|0.00|0.00|0.00|20170522||20170522|
1|GAP-CB|-|5|1|0|Meeting Document and Supply|||0.00|0.00|8000.00|8000.00|Year|1|8000.00||||||||
1|GAP-CB|-|5|1|1|Meeting Document and Supply||||||4000.00|Year|1|4000.00|||||20170522||20170522|
1|GAP-CB|-|5|2|0|Office Supply|||0.00|0.00|12000.00|12000.00|Month|12|1000.00||||||||
1|GAP-CB|-|5|2|1|Office Supply||||||8000.00|Month|2|4000.00|||||20170522||20170522|
1|GAP-CB|-|5|2|3|Office Supply||||||5660.00|Month|2|2830.00|||||20170904|gap-cb|20170904|gap-cb
