CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|SpendNo|SpendDescription|DateSpent|AmountSpent|ChequeSpent|DateAdjusted|AmountAdjusted|ChequeAdjusted|DateObligated|AmountObligated|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|LAB-Strategy|-|1|1|1|Administrative and financial officer at NIH |20161223|14250.00|10175782|20161223|750.00|10175782|||เงินเดือน เดือนธันวาคม|20170206|LAB-STRATEGY|20170206|LAB-STRATEGY
1|LAB-Strategy|-|1|1|2|Administrative and financial officer at NIH |20170125|14250.00|10175785|20170125|750.00|10175785|||เงินเดือน เดือนมกราคม|20170209|LAB-STRATEGY|20170209|LAB-STRATEGY
1|LAB-Strategy|-|1|1|4|Administrative and financial officer at NIH |20170227|14250.00|10175789|20170227|750.00|10175789|||เงินเดือน เดือนกุมภาพันธ์|20170308|LAB-STRATEGY|20170308|LAB-STRATEGY
1|LAB-Strategy|-|1|1|6|Administrative and financial officer at NIH |20170320|7125.00|10175791|20170320|375.00|10175791|||เงินเดือน เดือนมีนาคม|20170404|LAB-Strategy|20170404|LAB-Strategy
1|LAB-Strategy|-|1|1|8|Administrative and financial officer at NIH |20170425|7125.00|10175797|20170425|375.00|10175797|||เงินเดือน เดือนเมษายน|20170503|LAB-Strategy|20170503|LAB-Strategy
1|LAB-Strategy|-|1|1|10|Administrative and financial officer at NIH |20170525|14250.00|10206722|20170525|750.00|10206722|||เงินเดือน เดือนพฤษภาคม|20170606|Lab-Strategy|20170606|Lab-Strategy
1|LAB-Strategy|-|1|1|12|Administrative and financial officer at NIH |20170626|14250.00|10206728|20170626|750.00|10206728|||เงินเดือน เดือนมิถุนายน|20170717|LAB-Strategy|20170717|LAB-Strategy
1|LAB-Strategy|-|1|2|1|Compensation for Government staff 3 Project coordinators($2.06/hourx 21.42 hours x 5 months x 3 persons)|20170627|3640.00|10206730||||||ค่าตอบแทน นส.สุภาพร สุภารักษ์|20170717|LAB-Strategy|20170717|LAB-Strategy
1|LAB-Strategy|-|1|2|3|Compensation for Government staff 3 Project coordinators($2.06/hourx 21.42 hours x 5 months x 3 persons)|20170627|5600.00|10206731||||||ค่าตอบแทน นส.สิริลดา พิมพา|20170717|LAB-Strategy|20170717|LAB-Strategy
1|LAB-Strategy|-|1|2|5|Compensation for Government staff 3 Project coordinators($2.06/hourx 21.42 hours x 5 months x 3 persons)|20170627|5600.00|10206733||||||ค่าตอบแทน นส.เพทาย อุ่นผล|20170717|LAB-Strategy|20170717|LAB-Strategy
1|LAB-Strategy|-|1|2|6|Compensation for Government staff 3 Project coordinators($2.06/hourx 21.42 hours x 5 months x 3 persons)|20170627|5040.00|10206732||||||ค่าตอยแทน นายสุทธิวัฒน์ ลำไย|20170717|LAB-Strategy|20170717|LAB-Strategy
1|LAB-Strategy|-|2|1|1|Administrative and financial officer |20161223|750.00|10175783||||||ประกันสังคม เดือนธันวาคม|20170206|LAB-STRATEGY|20170206|LAB-STRATEGY
1|LAB-Strategy|-|2|1|3|Administrative and financial officer |20170125|750.00|10175786||||||ประกันสังคม เดือนมกราคม|20170209|LAB-STRATEGY|20170209|LAB-STRATEGY
1|LAB-Strategy|-|2|1|5|Administrative and financial officer |20170227|750.00|10175790||||||ประกันสังคม เดือนกุมภาพันธ์|20170308|LAB-STRATEGY|20170308|LAB-STRATEGY
1|LAB-Strategy|-|2|1|7|Administrative and financial officer |20170320|375.00|10175792||||||ประกันสังคม เดือนมีนาคม|20170404|LAB-Strategy|20170404|LAB-Strategy
1|LAB-Strategy|-|2|1|9|Administrative and financial officer |20170425|375.00|10175798||||||ประกันสังคม เดือนเมษายน|20170503|LAB-Strategy|20170503|LAB-Strategy
1|LAB-Strategy|-|2|1|10|Administrative and financial officer |20170525|750.00|10206723||||||ประกันสังคม เดือนพฤษภาคม|20170606|Lab-Strategy|20170606|Lab-Strategy
1|LAB-Strategy|-|2|1|12|Administrative and financial officer |20170626|750.00|10206729||||||ประกันสังคม เดือนมิถุนายน|20170717|LAB-Strategy|20170717|LAB-Strategy
1|LAB-Strategy|-|3|1|6|Working group meeting to review and revise training curriculum non local-MOPH|20161207|21180.00|10175781||||||ค่าเบี้ยเลี้ย+พาหนะ ศวก. จัดประชุมทีกรมวิทยาศาสตร์การแพทย์ วันที่ 16 ธ.ค. 59|20170206|LAB-STRATEGY|20170404|LAB-Strategy
1|LAB-Strategy|-|3|1|12|Working group meeting to review and revise training curriculum non local-MOPH|20170327|10890.70|10175794||||||ค่าพาหนะ ศวก. จัดประชุมทีกรมวิทยาศาสตร์การแพทย์ วันที่ 31 มี.ค. 60|20170503|LAB-Strategy|20170503|LAB-Strategy
1|LAB-Strategy|-|3|1|13|Working group meeting to review and revise training curriculum non local-MOPH|20170327|8000.00|10175794||||||ค่าเบี้ยเลี้ยง ศวก. จัดประชุมทีกรมวิทยาศาสตร์การแพทย์ วันที่ 31 มี.ค. 60|20170503|LAB-Strategy|20170503|LAB-Strategy
1|LAB-Strategy|-|3|1|14|Working group meeting to review and revise training curriculum non local-MOPH|20170327|6000.00|10175795||||||ค่าเบี้ยเลี้ยง ศวก. จัดประชุมทีกรมวิทยาศาสตร์การแพทย์ วันที่ 30 มี.ค. 60|20170503|LAB-Strategy|20170503|LAB-Strategy
1|LAB-Strategy|-|3|1|16|Working group meeting to review and revise training curriculum non local-MOPH|20170424|8000.00|10175796||||||ค่าเบี้ยเลี้ยง ศวก. จัดประชุมทีกรมวิทยาศาสตร์การแพทย์ วันที่ 26 เม.ย. 60|20170503|LAB-Strategy|20170503|LAB-Strategy
