CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|AmendNo|ItemDescription|ItemDescriptionD|Restrict|CashOnHand|Carryover|New|Total|Unit|Qty|OP1|OP2|OP3|OP4|OP5|_datecreated|_usercreated|_dateupdated|_userupdated
1|FLU-DARRT|-|1|1|0|Project administrative officer|Miss Cheevarat Baukhao||0.00|0.00|258000.00|258000.00|Person|1|100.00|12.00|21500.00||||||
1|FLU-DARRT|-|1|1|1|Project administrative officer|Miss Cheevarat Baukhao|||||100000.00|Person|1|100.00|5.00|20000.00|||20170410|flu-darrt|20170410|flu-darrt
1|FLU-DARRT|-|1|2|0|Network administration and IT Support|Mr. Kreetapol  Sangkakrom||0.00|0.00|390000.00|390000.00|Person|1|100.00|12.00|32500.00||||||
1|FLU-DARRT|-|1|2|1|Network administration and IT Support|Mr. Kreetapol  Sangkakrom|||||0.00|Person|0|100.00|0.00|32500.00|||20170410|flu-darrt|20170410|flu-darrt
1|FLU-DARRT|-|1|3|0|Programmer|Mr. Satapat Denduang||0.00|0.00|354000.00|354000.00|Person|1|100.00|12.00|29500.00||||||
1|FLU-DARRT|-|1|4|0|Compensation for primary investigator|($2. 05 x 4 hrs x 20 days x 12 months x 1 person)||0.00|0.00|67200.00|67200.00|Annual||||||||||
1|FLU-DARRT|-|1|5|0|Compensation for Co- Primary investigator|($2. 05 x 4 hrs x 20 days x 12 months x 2 persons)||0.00|0.00|134400.00|134400.00|Annual||||||||||
1|FLU-DARRT|-|1|5|1|Compensation for Co- Primary investigator|($2. 05 x 4 hrs x 20 days x 12 months x 1 persons)|||||67200.00|Annual|||||||20170410|flu-darrt|20170410|flu-darrt
1|FLU-DARRT|-|1|5|3|Compensation for Co- Primary investigator|($2. 05 x 4 hrs x 20 days x 5 months x 1 persons)|||||28000.00|Annual|||||||20170911|flu-darrt|20170911|flu-darrt
1|FLU-DARRT|-|1|6|0|Coordinator at Chiang Mai PHO|Mr. Pantasak  Boonrat||0.00|0.00|228000.00|228000.00|Person|1|100.00|12.00|19000.00||||||
1|FLU-DARRT|-|1|7|0|Laboratory Technician at Chiang Mai PHO|Miss Wachira  Koolprom||0.00|0.00|228000.00|228000.00|Person|1|100.00|12.00|19000.00||||||
1|FLU-DARRT|-|1|7|1|Laboratory Technician at Chiang Mai PHO|Miss Wachira  Koolprom|||||152000.00|Person|1|100.00|8.00|19000.00|||20170410|flu-darrt|20170410|flu-darrt
1|FLU-DARRT|-|1|8|0|Compensation for Project Manager at Chiang Mai PHO|($2. 05 x 2 hrs x 30 days x 12 months x 1 person)||0.00|0.00|50400.00|50400.00|Annual||||||||||
1|FLU-DARRT|-|1|9|0|Compensation for Financial staff at Chiang Mai PHO|($2. 05 x 2 hrs x 20 days x 12 months x 1 person)||0.00|0.00|33600.00|33600.00|Annual||||||||||
1|FLU-DARRT|-|1|10|0|Compensation for Laboratory Manager in Chiang Mai|($2. 05 x 2 hrs x 30 days x 12 months x 1 person)||0.00|0.00|50400.00|50400.00|Annual||||||||||
1|FLU-DARRT|-|2|1|0|Project administrative officer|Miss Cheevarat Baukhao||0.00|0.00|9000.00|9000.00|Person|1|258000.00|5.00|||||||
1|FLU-DARRT|-|2|1|1|Project administrative officer|Miss Cheevarat Baukhao|||||3750.00|Annual|||||||20170410|flu-darrt|20170410|flu-darrt
1|FLU-DARRT|-|2|2|0|Network administration and IT Support|Mr. Kreetapol  Sangkakrom||0.00|0.00|9000.00|9000.00|Person|1|390000.00|5.00|||||||
1|FLU-DARRT|-|2|2|1|Network administration and IT Support|Mr. Kreetapol  Sangkakrom|||||0.00|Person|0|390000.00|5.00||||20170410|flu-darrt|20170410|flu-darrt
1|FLU-DARRT|-|2|3|0|Programmer|Mr. Satapat Denduang||0.00|0.00|9000.00|9000.00|Person|1|354000.00|5.00|||||||
1|FLU-DARRT|-|2|4|0|Coordinator at Chiang Mai PHO|Mr. Pantasak  Boonrat||0.00|0.00|9000.00|9000.00|Person|1|228000.00|5.00|||||||
1|FLU-DARRT|-|2|5|0|Laboratory Technician|Miss Wachira  Koolprom||0.00|0.00|9000.00|9000.00|Person|1|228000.00|5.00|||||||
1|FLU-DARRT|-|2|5|1|Laboratory Technician|Miss Wachira  Koolprom|||||6000.00|Annual|||||||20170410|flu-darrt|20170410|flu-darrt
1|FLU-DARRT|-|2|6|0|Annual medical check up|(5 Persons X $58. 82)||0.00|0.00|10000.00|10000.00|Annual||||||||||
1|FLU-DARRT|-|2|6|3|Annual medical check up|(3 Persons X $58. 82)|||||6000.00|Annual|||||||20170911|flu-darrt|20170911|flu-darrt
1|FLU-DARRT|-|3|1|0|3-day Epidemiology and data analysis workshop|(MOPH - non local)||0.00|0.00|84000.00|84000.00|Time|1|8.00|3.00|2000.00|4500.00|0.00||||
1|FLU-DARRT|-|3|1|3|3-day Epidemiology and data analysis workshop|(MOPH - non local)|||||153000.00|Time|1|30.00|2.00|1800.00|1500.00|0.00|20170911|flu-darrt|20170911|flu-darrt
1|FLU-DARRT|-|3|1|4|3-day Epidemiology and data analysis workshop|(MOPH - non local)|||||96900.00|Time|1|17.00|2.00|1800.00|2100.00|0.00|20170911|flu-darrt|20170911|flu-darrt
1|FLU-DARRT|-|3|2|0|2-day Laboratory workshop|(MOPH - non local)||0.00|0.00|42500.00|42500.00|Time|1|5.00|2.00|2000.00|4500.00|0.00||||
1|FLU-DARRT|-|3|2|3|2-day Laboratory workshop|(MOPH - non local)|||||64900.00|Time|1|10.00|2.00|1600.00|3290.00|0.00|20170911|flu-darrt|20170911|flu-darrt
1|FLU-DARRT|-|3|2|4|2-day Laboratory workshop|(MOPH - non local)|||||81000.00|Time|1|15.00|2.00|1600.00|2200.00|0.00|20170911|flu-darrt|20170911|flu-darrt
1|FLU-DARRT|-|3|3|0|Revisit Chiang Mai to follow up project activities|(MOPH - non local)||0.00|0.00|58500.00|58500.00|Time|3|3.00|1.00|2000.00|4500.00|0.00||||
1|FLU-DARRT|-|3|3|1|Revisit Chiang Mai to follow up project activities|(MOPH - non local)|||||192000.00|Time|3|4.00|5.00|2000.00|6000.00|0.00|20170410|flu-darrt|20170410|flu-darrt
1|FLU-DARRT|-|3|3|3|Revisit Chiang Mai to follow up project activities|(MOPH - non local)|||||148800.00|Time|2|5.00|5.00|2000.00|4800.00|400.00|20170911|flu-darrt|20170911|flu-darrt
1|FLU-DARRT|-|3|4|0|Local Transportation cost for MOPH and project staff|||0.00|0.00|3600.00|3600.00|Time|12|1.00|1.00|0.00|300.00|0.00||||
