CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|SpendNo|SpendDescription|DateSpent|AmountSpent|ChequeSpent|DateAdjusted|AmountAdjusted|ChequeAdjusted|DateObligated|AmountObligated|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|DGHP-SevPn|-|1|2|2|Administrative and Financial Assistant TBD|20161025|23000.00|10167642||||||ค่าจ้างเดือนต.ค.59|20170130|dghp-sevpn|20170130|dghp-sevpn
1|DGHP-SevPn|-|1|2|3|Administrative and Financial Assistant TBD|20161125|23000.00|10167647||||||ค่าจ้างเดือนพ.ย.59|20170130|dghp-sevpn|20170130|dghp-sevpn
1|DGHP-SevPn|-|1|2|4|Administrative and Financial Assistant TBD|20161226|23000.00|10167650||||||ค่าจ้างเดือนธ.ค.59|20170130|dghp-sevpn|20170130|dghp-sevpn
1|DGHP-SevPn|-|1|2|5|Administrative and Financial Assistant TBD|20170125|23000.00|10167657||||||ค่าจ้างเดือนม.ค.60|20170130|dghp-sevpn|20170130|dghp-sevpn
1|DGHP-SevPn|-|1|2|6|Administrative and Financial Assistant TBD|20160930|23000.00|10167641||||||ค่าจ้างเดือนก.ย.59|20170130|dghp-sevpn|20170202|dghp-sevpn
1|DGHP-SevPn|-|1|2|7|Administrative and Financial Assistant TBD|20170227|23000.00|10191708||||||ค่าจ้างเดือนก.พ.60|20170224|dghp-sevpn|20170224|dghp-sevpn
1|DGHP-SevPn|-|1|2|8|Administrative and Financial Assistant TBD|20170327|23000.00|10191716||||||ค่าจ้างเดือนมี.ค.60|20170418|dghp-sevpn|20170418|dghp-sevpn
1|DGHP-SevPn|-|1|2|9|Administrative and Financial Assistant TBD|20170425|23000.00|10191724||||||ค่าจ้างเดือนเม.ย.60|20170421|dghp-sevpn|20170421|dghp-sevpn
1|DGHP-SevPn|-|1|2|10|Administrative and Financial Assistant TBD|20170525|23000.00|10191730||||||ค่าจ้างเดือนพ.ค.60|20170602|dghp-sevpn|20170602|dghp-sevpn
1|DGHP-SevPn|-|1|2|11|Administrative and Financial Assistant TBD|20170626|23000.00|10191737||||||ค่าจ้างเดือน มิ.ย.60|20170622|dghp-sevpn|20170622|dghp-sevpn
1|DGHP-SevPn|-|1|2|13|Administrative and Financial Assistant TBD|20170725|23000.00|10219244||||||ค่าจ้างเดือน ก.ค.60|20170807|dghp-sevpn|20170807|dghp-sevpn
1|DGHP-SevPn|-|1|2|15|Administrative and Financial Assistant TBD|20170825|23000.00|10219248||||||ค่าจ้างเดือน ส.ค.60|20170807|dghp-sevpn|20170807|dghp-sevpn
1|DGHP-SevPn|-|1|4|1|Overtime  ($1.76 X 2hrs/mnths) x 12 mnthsx3 persons|20161226|2160.00|10167654||||||ค่าโอทีเดือนพ.ย.59/ศรินยา ไชยยา|20170130|dghp-sevpn|20170130|dghp-sevpn
1|DGHP-SevPn|-|1|4|2|Overtime  ($1.76 X 2hrs/mnths) x 12 mnthsx3 persons|20170130|1800.00|10167660||||||ค่าโอทีเดือนธ.ค.59/ดวงรัตน์ ร่วมพุ่ม|20170208|dghp-sevpn|20170208|dghp-sevpn
1|DGHP-SevPn|-|1|4|3|Overtime  ($1.76 X 2hrs/mnths) x 12 mnthsx3 persons|20170130|1800.00|10191704||||||ค่าโอทีเดือนธ.ค.59/ศริญญา ไชยยา|20170208|dghp-sevpn|20170208|dghp-sevpn
1|DGHP-SevPn|-|1|4|7|Overtime  ($1.76 X 2hrs/mnths) x 12 mnthsx3 persons|20170201|1800.00|10191703||||||ค่าโอทีเดือนม.ค.60/ศริญญา ไชยยา|20170208|dghp-sevpn|20170208|dghp-sevpn
1|DGHP-SevPn|-|1|4|8|Overtime  ($1.76 X 2hrs/mnths) x 12 mnthsx3 persons|20170201|1800.00|10191702||||||ค่าโอทีเดือนม.ค.60/ดวงรัตน์ ร่วมพุ่ม|20170208|dghp-sevpn|20170208|dghp-sevpn
1|DGHP-SevPn|-|1|4|10|Overtime  ($1.76 X 2hrs/mnths) x 12 mnthsx3 persons|20170331|1800.00|10191720||||||ค่าโอทีเดือนมี.ค.60/ศริญญา ไชยยา|20170418|dghp-sevpn|20170418|dghp-sevpn
1|DGHP-SevPn|-|1|4|11|Overtime  ($1.76 X 2hrs/mnths) x 12 mnthsx3 persons|20170301|1800.00|10191711||||||ค่าโอทีเดือนก.พ.60/ศริญญา ไชยยา|20170418|dghp-sevpn|20170418|dghp-sevpn
1|DGHP-SevPn|-|1|4|13|Overtime  ($1.76 X 2hrs/mnths) x 12 mnthsx3 persons|20170301|1800.00|10191712||||||ค่าโอทีเดือนก.พ.60/ดวงรัตน์ ร่วมพุ่ม|20170418|dghp-sevpn|20170418|dghp-sevpn
1|DGHP-SevPn|-|1|4|15|Overtime  ($1.76 X 2hrs/mnths) x 12 mnthsx3 persons|20170331|1800.00|10191721||||||ค่าโอทีเดือนมี.ค.60/ดวงรัตน์ ร่วมพุ่ม|20170418|dghp-sevpn|20170418|dghp-sevpn
1|DGHP-SevPn|-|1|4|22|Overtime  ($1.76 X 2hrs/mnths) x 12 mnthsx3 persons|20170531|1800.00|10191733||||||ค่าโอทีเดือนพ.ค.60/ศริญญา ไชยยา|20170602|dghp-sevpn|20170602|dghp-sevpn
1|DGHP-SevPn|-|1|4|24|Overtime  ($1.76 X 2hrs/mnths) x 12 mnthsx3 persons|20170531|1800.00|10191734||||||ค่าโอทีเดือนพ.ค.60/ดวงรัตน์ ร่วมพุ่ม|20170602|dghp-sevpn|20170602|dghp-sevpn
1|DGHP-SevPn|-|1|4|26|Overtime  ($1.76 X 2hrs/mnths) x 12 mnthsx3 persons|20170630|1800.00|10191740||||||ค่าโอทีเดือนมิ.ย.60/ศริญญา ไชยยา|20170622|dghp-sevpn|20170622|dghp-sevpn
1|DGHP-SevPn|-|1|4|28|Overtime  ($1.76 X 2hrs/mnths) x 12 mnthsx3 persons|20170630|1800.00|10219241||||||ค่าโอทีเดือนมิ.ย.60/ดวงรัตน์ ร่วมพุ่ม|20170622|dghp-sevpn|20170622|dghp-sevpn
1|DGHP-SevPn|-|1|4|29|Overtime  ($1.76 X 2hrs/mnths) x 12 mnthsx3 persons|20170425|1800.00|10191727||||||ค่าโอทีเดือนเม.ย.60/ศริญญา ไชยยา|20170421|dghp-sevpn|20170921|dghp-sevpn
1|DGHP-SevPn|-|1|4|30|Overtime  ($1.76 X 2hrs/mnths) x 12 mnthsx3 persons|20170425|1800.00|10191728||||||ค่าโอทีเดือนเม.ย.60/ดวงรัตน์ ร่วมพุ่ม|20170421|dghp-sevpn|20170921|dghp-sevpn
1|DGHP-SevPn|-|2|2|1|Administrative and Financial Assistant  TBD|20161025|750.00|10167643||||||ค่าประกันสังคมเดือนก.ย.59|20170130|dghp-sevpn|20170130|dghp-sevpn
1|DGHP-SevPn|-|2|2|2|Administrative and Financial Assistant  TBD|20161025|750.00|10167644||||||ค่าประกันสังคมเดือนต.ค.59|20170130|dghp-sevpn|20170130|dghp-sevpn
1|DGHP-SevPn|-|2|2|3|Administrative and Financial Assistant  TBD|20161125|750.00|10167648||||||ค่าประกันสังคมเดือนพ.ย.59|20170130|dghp-sevpn|20170130|dghp-sevpn
1|DGHP-SevPn|-|2|2|4|Administrative and Financial Assistant  TBD|20161226|750.00|10167653||||||ค่าประกันสังคมเดือนธ.ค.59|20170130|dghp-sevpn|20170130|dghp-sevpn
