CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|SpendNo|SpendDescription|DateSpent|AmountSpent|ChequeSpent|DateAdjusted|AmountAdjusted|ChequeAdjusted|DateObligated|AmountObligated|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|FLU-Pregnancy|-|1|1|12|Study Nurse (Ms.Jivanan Chompupuen, TBD)|20170221|54250.00|10010311|20170221|750.00|10010311|||เงินเดือน ก.พ.60  ประกันสังคม ก.พ.60|20170216|FLU-Pregnancy|20170222|FLU-Pregnancy
1|FLU-Pregnancy|-|1|1|13|Study Nurse (Ms.Jivanan Chompupuen, TBD)|20161125|54250.00|10010241|20161125|750.00|10010241|||เงินเดือน ก.ย.59  ประกันสังคม ก.ย.59|20170106|FLU-Pregnancy|20170222|FLU-Pregnancy
1|FLU-Pregnancy|-|1|1|14|Study Nurse (Ms.Jivanan Chompupuen, TBD)|20161125|54250.00|10010253|20161125|750.00|10010253|||เงินเดือน ต.ค.59  ประกันสังคม ต.ค.59|20170106|FLU-Pregnancy|20170222|FLU-Pregnancy
1|FLU-Pregnancy|-|1|1|15|Study Nurse (Ms.Jivanan Chompupuen, TBD)|20161125|54250.00|10010266|20161125|750.00|10010266|||เงินเดือน พ.ย.59  ประกันสังคม พ.ย.59|20170106|FLU-Pregnancy|20170222|FLU-Pregnancy
1|FLU-Pregnancy|-|1|1|16|Study Nurse (Ms.Jivanan Chompupuen, TBD)|20161227|54250.00|10010280|20161227|750.00|10010280|||เงินเดือน ธ.ค.59  ประกันสังคม ธ.ค.59|20170106|FLU-Pregnancy|20170222|FLU-Pregnancy
1|FLU-Pregnancy|-|1|1|17|Study Nurse (Ms.Jivanan Chompupuen, TBD)|20170126|54250.00|10010296|20170126|750.00|10010296|||เงินเดือน ม.ค.60  ประกันสังคม ม.ค.60|20170126|FLU-Pregnancy|20170222|FLU-Pregnancy
1|FLU-Pregnancy|-|1|1|19|Study Nurse (Ms.Jivanan Chompupuen, TBD)|20170328|54250.00|10010325|20170328|750.00|10010325|||เงินเดือน มี.ค.60  ประกันสังคม มี.ค.60|20170323|FLU-Pregnancy|20170323|FLU-Pregnancy
1|FLU-Pregnancy|-|1|1|20|Study Nurse (Ms.Jivanan Chompupuen, TBD)|20170425|54250.00|10010338|20170425|750.00|10010338|||เงินเดือน เม.ย.60  ประกันสังคม เม.ย.60|20170421|FLU-Pregnancy|20170421|FLU-Pregnancy
1|FLU-Pregnancy|-|1|1|29|Study Nurse (Ms.Jivanan Chompupuen, นฤมล)|20170525|108500.00|10013076|20170525|1500.00|10013076|||เงินเดือน พ.ค.60  ประกันสังคม พ.ค.60|20170519|FLU-Pregnancy|20170519|FLU-Pregnancy
1|FLU-Pregnancy|-|1|1|35|Study Nurse (Ms.Jivanan Chompupuen, Ms.Naruemon Sassungnune)|20170627|108500.00|10013109|20170627|1500.00|10013109|||เงินเดือน มิ.ย.60  ประกันสังคม มิ.ย.60|20170626|FLU-Pregnancy|20170907|FLU-Pregnancy
