CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|SpendNo|SpendDescription|DateSpent|AmountSpent|ChequeSpent|DateAdjusted|AmountAdjusted|ChequeAdjusted|DateObligated|AmountObligated|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|DGHP-DeNARS|-|1|1|1|Project Coordinator TBD|20161226|18000.00|10172886||||||เงินเดือนธันวาคม 2559|20170130|dghp-denars|20170130|dghp-denars
1|DGHP-DeNARS|-|1|1|3|Project Coordinator TBD|20170125|18000.00|10172897||||||เงินเดือนมกราคม 2560|20170130|dghp-denars|20170130|dghp-denars
1|DGHP-DeNARS|-|1|1|4|Project Coordinator TBD|20170227|18000.00|10172910||||||เงินเดือนกุมภาพันธ์ 2560|20170223|dghp-denars|20170223|dghp-denars
1|DGHP-DeNARS|-|1|1|7|Project Coordinator TBD|20170327|20000.00|10172924||||||เงินเดือนมีนาคม 2560|20170327|dghp-denars|20170327|dghp-denars
1|DGHP-DeNARS|-|1|1|8|Project Coordinator TBD|20170425|20000.00|10172933||||||เงินเดือนเมษายน 2560|20170515|dghp-denars|20170515|dghp-denars
1|DGHP-DeNARS|-|1|2|1|Administrative and Financial Assistant Ms.Duangrat Ruampoom|20161025|23000.00|10167601||||||เงินเดือนกันยายน 2559|20170130|dghp-denars|20170130|dghp-denars
1|DGHP-DeNARS|-|1|2|3|Administrative and Financial Assistant Ms.Duangrat Ruampoom|20161025|23000.00|10167608||||||เงินเดือนตุลาคม 2559|20170130|dghp-denars|20170130|dghp-denars
1|DGHP-DeNARS|-|1|2|7|Administrative and Financial Assistant Ms.Duangrat Ruampoom|20161125|23000.00|10167618||||||เงินเดือนพฤศจิกายน 2559|20170130|dghp-denars|20170130|dghp-denars
1|DGHP-DeNARS|-|1|2|9|Administrative and Financial Assistant Ms.Duangrat Ruampoom|20161226|23000.00|10172884||||||เงินเดือนธันวาคม 2559|20170130|dghp-denars|20170130|dghp-denars
1|DGHP-DeNARS|-|1|2|11|Administrative and Financial Assistant Ms.Duangrat Ruampoom|20170125|23000.00|10172895||||||เงินเดือนมกราคม 2560|20170130|dghp-denars|20170130|dghp-denars
1|DGHP-DeNARS|-|1|2|13|Administrative and Financial Assistant Ms.Duangrat Ruampoom|20170227|23000.00|10172908||||||เงินเดือนกุมภาพันธ์ 2560|20170223|dghp-denars|20170223|dghp-denars
1|DGHP-DeNARS|-|1|2|14|Administrative and Financial Assistant Ms.Duangrat Ruampoom|20170327|23000.00|10172922||||||เงินเดือนมีนาคม 2560|20170327|dghp-denars|20170327|dghp-denars
1|DGHP-DeNARS|-|1|2|15|Administrative and Financial Assistant Ms.Duangrat Ruampoom|20170425|23000.00|10172931||||||เงินเดือนเมษายน 2560|20170515|dghp-denars|20170515|dghp-denars
1|DGHP-DeNARS|-|1|2|17|Administrative and Financial Assistant Ms.Duangrat Ruampoom|20170525|23000.00|10172939||||||เงินเดือนพฤษภาคม 2560|20170602|dghp-denars|20170602|dghp-denars
1|DGHP-DeNARS|-|1|2|18|Administrative and Financial Assistant Ms.Duangrat Ruampoom|20170626|23000.00|10172949||||||เงินเดือนมิถุนายน 2560|20170627|dghp-denars|20170627|dghp-denars
1|DGHP-DeNARS|-|1|2|19|Administrative and Financial Assistant Ms.Duangrat Ruampoom|20170727|23000.00|10172957||||||เงินเดือนกรกฎาคม 2560|20170731|dghp-denars|20170731|dghp-denars
1|DGHP-DeNARS|-|1|2|20|Administrative and Financial Assistant Ms.Duangrat Ruampoom|20170825|23000.00|10172964||||||เงินเดือนสิงหาคม 2560|20170817|dghp-denars|20170817|dghp-denars
1|DGHP-DeNARS|-|1|3|2|Project data officer Ms.Sarinya Chaiya|20161025|20000.00|10167602||||||เงินเดือนกันยายน 2559|20170130|dghp-denars|20170130|dghp-denars
1|DGHP-DeNARS|-|1|3|4|Project data officer Ms.Sarinya Chaiya|20161025|20000.00|10167609||||||เงินเดือนตุลาคม 2559|20170130|dghp-denars|20170130|dghp-denars
1|DGHP-DeNARS|-|1|3|6|Project data officer Ms.Sarinya Chaiya|20161125|20000.00|10167619||||||เงินเดือนพฤศจิกายน 2559|20170130|dghp-denars|20170130|dghp-denars
1|DGHP-DeNARS|-|1|3|8|Project data officer Ms.Sarinya Chaiya|20161226|20000.00|10172885||||||เงินเดือนธันวาคม 2559|20170130|dghp-denars|20170130|dghp-denars
1|DGHP-DeNARS|-|1|3|9|Project data officer Ms.Sarinya Chaiya|20170125|20000.00|10172896||||||เงินเดือนมกราคม 2560|20170130|dghp-denars|20170130|dghp-denars
1|DGHP-DeNARS|-|1|3|11|Project data officer Ms.Sarinya Chaiya|20170227|20000.00|10172909||||||เงินเดือนกุมภาพันธ์ 2560|20170223|dghp-denars|20170223|dghp-denars
1|DGHP-DeNARS|-|1|3|12|Project data officer Ms.Sarinya Chaiya|20170327|20000.00|10172923||||||เงินเดือนมีนาคม 2560|20170327|dghp-denars|20170327|dghp-denars
1|DGHP-DeNARS|-|1|3|13|Project data officer Ms.Sarinya Chaiya|20170425|20000.00|10172932||||||เงินเดือนเมษายน 2560|20170515|dghp-denars|20170515|dghp-denars
1|DGHP-DeNARS|-|1|3|16|Project data officer Ms.Sarinya Chaiya|20170525|20000.00|10172940||||||เงินเดือนพฤษภาคม 2560|20170602|dghp-denars|20170602|dghp-denars
1|DGHP-DeNARS|-|1|3|17|Project data officer Ms.Sarinya Chaiya|20170626|20000.00|10172950||||||เงินเดือนมิถุนายน 2560|20170627|dghp-denars|20170627|dghp-denars
1|DGHP-DeNARS|-|1|3|18|Project data officer Ms.Sarinya Chaiya|20170727|20000.00|10172958||||||เงินเดือนกรกฎาคม 2560|20170731|dghp-denars|20170731|dghp-denars
1|DGHP-DeNARS|-|1|3|19|Project data officer Ms.Sarinya Chaiya|20170825|20000.00|10172965||||||เงินเดือนสิงหาคม 2560|20170817|dghp-denars|20170817|dghp-denars
1|DGHP-DeNARS|-|1|6|9|Compensation for government officers at MOPH $2.06 * 30hrs/month * 12 month * 2 person|20161025|2100.00|10167605||||||ค่าตอบแทนเดือนกันยายน 2559 น.สพ.ธีรศักดิ์|20170130|dghp-denars|20170130|dghp-denars
1|DGHP-DeNARS|-|1|6|10|Compensation for government officers at MOPH $2.06 * 30hrs/month * 12 month * 2 person|20161025|2100.00|10167606||||||ค่าตอบแทนเดือนกันยายน 2559 นพ.ฐิติพงษ์|20170130|dghp-denars|20170130|dghp-denars
1|DGHP-DeNARS|-|1|6|15|Compensation for government officers at MOPH $2.06 * 30hrs/month * 12 month * 2 person|20161025|2100.00|10167612||||||ค่าตอบแทนเดือนตุลาคม 2559 นพ.ฐิติพงษ์|20170130|dghp-denars|20170130|dghp-denars
1|DGHP-DeNARS|-|1|6|16|Compensation for government officers at MOPH $2.06 * 30hrs/month * 12 month * 2 person|20161025|2100.00|10167611||||||ค่าตอบแทนเดือนตุลาคม 2559 น.สพ.ธีรศักดิ์|20170130|dghp-denars|20170130|dghp-denars
1|DGHP-DeNARS|-|1|6|18|Compensation for government officers at MOPH $2.06 * 30hrs/month * 12 month * 2 person|20161125|2100.00|10172881||||||ค่าตอบแทนเดือนพฤศจิกายน2559 น.สพ.ธีรศักดิ์|20170130|dghp-denars|20170130|dghp-denars
1|DGHP-DeNARS|-|1|6|19|Compensation for government officers at MOPH $2.06 * 30hrs/month * 12 month * 2 person|20161125|2100.00|10172882||||||ค่าตอบแทนเดือนพฤศจิกายน2559 นพ.ฐิติพงษ์|20170130|dghp-denars|20170130|dghp-denars
1|DGHP-DeNARS|-|1|6|21|Compensation for government officers at MOPH $2.06 * 30hrs/month * 12 month * 2 person|20161226|2100.00|10172888||||||ค่าตอบแทนเดือนธันวาคม 2559 น.สพ.ธีรศักดิ์|20170130|dghp-denars|20170130|dghp-denars
1|DGHP-DeNARS|-|1|6|26|Compensation for government officers at MOPH $2.06 * 30hrs/month * 12 month * 2 person|20170125|2100.00|10172899||||||ค่าตอบแทนเดือนมกราคม 2560 น.สพ.ธีรศักดิ์|20170130|dghp-denars|20170130|dghp-denars
1|DGHP-DeNARS|-|1|6|27|Compensation for government officers at MOPH $2.06 * 30hrs/month * 12 month * 2 person|20170125|2100.00|10172900||||||ค่าตอบแทนเดือนมกราคม 2560 นพ.ฐิติพงษ์|20170130|dghp-denars|20170130|dghp-denars
1|DGHP-DeNARS|-|1|6|29|Compensation for government officers at MOPH $2.06 * 30hrs/month * 12 month * 2 person|20170227|2100.00|10172912||||||ค่าตอบแทนเดือนกุมภาพันธ์ 2560 น.สพ.ธีรศักดิ์|20170223|dghp-denars|20170223|dghp-denars
1|DGHP-DeNARS|-|1|6|31|Compensation for government officers at MOPH $2.06 * 30hrs/month * 12 month * 2 person|20170227|2100.00|10172913||||||ค่าตอบแทนเดือนกุมภาพันธ์2560 นพ.ฐิติพงษ์|20170223|dghp-denars|20170311|dghp-denars
1|DGHP-DeNARS|-|1|6|33|Compensation for government officers at MOPH $2.06 * 30hrs/month * 12 month * 2 person|20170327|2100.00|10172926||||||ค่าตอบแทนเดือนมีนาคม 2560 น.สพ.ธีรศักดิ์|20170327|dghp-denars|20170327|dghp-denars
1|DGHP-DeNARS|-|1|6|35|Compensation for government officers at MOPH $2.06 * 30hrs/month * 12 month * 2 person|20170327|2100.00|10172927||||||ค่าตอบแทนเดือนมีนาคม 2560 นพ.ฐิติพงษ์|20170327|dghp-denars|20170327|dghp-denars
1|DGHP-DeNARS|-|1|6|39|Compensation for government officers at MOPH $2.06 * 30hrs/month * 12 month * 2 person|20170425|2100.00|10172936||||||ค่าตอบแทนเดือนเมษายน2560 นพ.ฐิติพงษ์|20170501|dghp-denars|20170501|dghp-denars
1|DGHP-DeNARS|-|1|6|40|Compensation for government officers at MOPH $2.06 * 30hrs/month * 12 month * 2 person|20170425|2100.00|10172935||||||ค่าตอบแทนเดือนเมษายน 2560 น.สพ.ธีรศักดิ์|20170501|dghp-denars|20170501|dghp-denars
1|DGHP-DeNARS|-|1|6|42|Compensation for government officers at MOPH $2.06 * 30hrs/month * 12 month * 2 person|20170525|2100.00|10172942||||||ค่าตอบแทนเดือนพฤษภาคม 2560 น.สพ.ธีรศักดิ์|20170602|dghp-denars|20170602|dghp-denars
1|DGHP-DeNARS|-|1|6|44|Compensation for government officers at MOPH $2.06 * 30hrs/month * 12 month * 2 person|20170525|2100.00|10172943||||||ค่าตอบแทนเดือนพฤษภาคม2560 นพ.ฐิติพงษ์|20170602|dghp-denars|20170602|dghp-denars
1|DGHP-DeNARS|-|1|6|46|Compensation for government officers at MOPH $2.06 * 30hrs/month * 12 month * 2 person|20170626|2100.00|10172952||||||ค่าตอบแทนเดือนมิถุนายน 2560 น.สพ.ธีรศักดิ์|20170627|dghp-denars|20170627|dghp-denars
1|DGHP-DeNARS|-|1|6|48|Compensation for government officers at MOPH $2.06 * 30hrs/month * 12 month * 2 person|20170626|2100.00|10172953||||||ค่าตอบแทนเดือนมิถุนายน2560 นพ.ฐิติพงษ์|20170627|dghp-denars|20170627|dghp-denars
1|DGHP-DeNARS|-|1|6|49|Compensation for government officers at MOPH $2.06 * 30hrs/month * 12 month * 2 person|20170727|2100.00|10172960||||||ค่าตอบแทนเดือนกรกฎาคม 2560 น.สพ.ธีรศักดิ์|20170731|dghp-denars|20170731|dghp-denars
1|DGHP-DeNARS|-|1|6|51|Compensation for government officers at MOPH $2.06 * 30hrs/month * 12 month * 2 person|20170727|2100.00|10172961||||||ค่าตอบแทนเดือนกรกฎาคม2560 นพ.ฐิติพงษ์|20170731|dghp-denars|20170731|dghp-denars
1|DGHP-DeNARS|-|1|6|55|Compensation for government officers at MOPH $2.06 * 30hrs/month * 12 month * 2 person|20170825|2100.00|10172968||||||ค่าตอบแทนเดือนสิงหาคม 2560 นพ.ฐิติพงษ์|20170817|dghp-denars|20170817|dghp-denars
1|DGHP-DeNARS|-|1|6|56|Compensation for government officers at MOPH $2.06 * 30hrs/month * 12 month * 2 person|20170825|2100.00|10172967||||||ค่าตอบแทนเดือนสิงหาคม 2560 น.สพ.ธีรศักดิ์|20170817|dghp-denars|20170817|dghp-denars
1|DGHP-DeNARS|-|1|6|57|Compensation for government officers at MOPH $2.06 * 30hrs/month * 12 month * 2 person|20161226|2100.00|10172889||||||ค่าตอบแทนเดือนธันวาคม2559 น.พ.ฐิติพงษ์|20170130|dghp-denars|20170929|dghp-denars
1|DGHP-DeNARS|-|2|1|2|Project Coordinator TBD|20161226|750.00|10172887||||||ประกันสังคมเดือนธันวาคม2559|20170130|dghp-denars|20170130|dghp-denars
1|DGHP-DeNARS|-|2|1|4|Project Coordinator TBD|20170125|750.00|10172898||||||ประกันสังคมเดือนมกราคม2560|20170130|dghp-denars|20170130|dghp-denars
