CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|AmendNo|ItemDescription|ItemDescriptionD|Restrict|CashOnHand|Carryover|New|Total|Unit|Qty|OP1|OP2|OP3|OP4|OP5|_datecreated|_usercreated|_dateupdated|_userupdated
1|PrEP2START-LAB|-|1|1|0|Compensation for government staff|Miss Naparat Pattarapayoon||0.00|0.00|-0.00|0.00|Annual||||||||||
1|PrEP2START-LAB|-|1|2|0|Overtime for project staff|Project coordinator and Project secretary||0.00|0.00|48000.00|48000.00|Annual||||||||||
1|PrEP2START-LAB|-|3|1|0|Network Lab Meeting for monitoring QI project in Khonkean and Udonthani province|BATS and NIH: (Non Local participant-MOPH)||0.00|0.00|96000.00|96000.00|Time|4|4.00|1.00|2000.00|4000.00|0.00||||
1|PrEP2START-LAB|-|3|1|1|Network Lab Meeting for monitoring QI project in Khonkean and Udonthani province|(Non Local participant-MOPH)|||||60000.00|Time|2|4.00|1.00|2000.00|5500.00|0.00|20170519||20170519|
1|PrEP2START-LAB|-|3|2|0|Network Lab Meeting for monitoring QI project for Chonburi and Nakornrachasima|(Non Local participant-MOPH)||0.00|0.00|128000.00|128000.00|Time|4|8.00|1.00|2000.00|2000.00|0.00||||
1|PrEP2START-LAB|-|3|2|1|Network Lab Meeting for monitoring QI project for Chonburi and Nakornrachasima|(Non Local participant-MOPH)|||||0.00|Time|0|8.00|1.00|2000.00|2000.00|0.00|20170519||20170519|
1|PrEP2START-LAB|-|3|3|0|Capacity building on lab quality related training topic in Khonkean and Udonthani province|2 time per provinces (Khonkean and Udonthani) (Non local Resource person-MOPH)||0.00|0.00|96000.00|96000.00|Time|4|3.00|2.00|2000.00|4000.00|0.00||||
1|PrEP2START-LAB|-|3|3|1|Capacity building on lab quality related training topic in Khonkean and Udonthani province|(Non local -MOPH)|||||240370.00|Time|1|46.00|2.00|2000.00|1200.00|1170.00|20170519||20170519|
1|PrEP2START-LAB|-|3|4|0|Site Assessment for community base HIV testing|BATS and NIH: (Non Local participant-MOPH)||0.00|0.00|200000.00|200000.00|Time|5|4.00|3.00|2000.00|4000.00|0.00||||
1|PrEP2START-LAB|-|3|4|1|Site Assessment for community base HIV testing|(Non Local participant-MOPH)|||||0.00|Time|0|4.00|3.00|2000.00|4000.00|0.00|20170519||20170519|
1|PrEP2START-LAB|-|3|5|0|Lessern learn Meeting for QI project in Khonkean|(Non Local participant-MOPH)||0.00|0.00|60000.00|60000.00|Time|1|20.00|1.00|2000.00|1000.00|0.00||||
1|PrEP2START-LAB|-|3|5|1|Lessern learn Meeting for QI project in Khonkean|(Non Local participant-MOPH)|||||0.00|Time|0|20.00|1.00|2000.00|1000.00|0.00|20170519||20170519|
1|PrEP2START-LAB|-|3|6|0|Transportation cost|Local Resource person and local participants (gasoline, car rental, tolls fee, taxi)||0.00|0.00|22500.00|22500.00|Annual||||||||||
1|PrEP2START-LAB|-|3|6|1|Transportation cost|Local Resource person and local participants (gasoline, car rental, tolls fee, taxi)|||||74670.00|Annual|||||||20170519||20170519|
1|PrEP2START-LAB|-|3|7|0|Capacity building on lab quality related training topic in Khonkean and Udonthani province|(Non Local participant-MOPH)||0.00|0.00|64000.00|64000.00|Time|4|2.00|2.00|2000.00|4000.00|0.00||||
1|PrEP2START-LAB|-|3|7|1|Capacity building on lab quality related training topic in Khonkean and Udonthani province|(Non Local participant-MOPH)|||||0.00|Time|0|2.00|2.00|2000.00|4000.00|0.00|20170519||20170519|
1|PrEP2START-LAB|-|3|8|1|Advisory meeting for Lab network|Non-Local-MOPH|||||66000.00|Time|2|5.00|1.00|2000.00|4600.00|0.00|20170519||20170519|
1|PrEP2START-LAB|-|3|9|1|Lessen learn Meeting for QI project|Non-Local-MOPH|||||220000.00|Time|1|40.00|2.00|2000.00|1500.00|0.00|20170519||20170519|
1|PrEP2START-LAB|-|5|1|0|Meeting supplies|Printing copying||0.00|0.00|21500.00|21500.00|Annual||||||||||
1|PrEP2START-LAB|-|5|1|1|Meeting supplies|Printing copying|||||0.00|Annual|||||||20170519||20170519|
