CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|AmendNo|ItemDescription|ItemDescriptionD|Restrict|CashOnHand|Carryover|New|Total|Unit|Qty|OP1|OP2|OP3|OP4|OP5|_datecreated|_usercreated|_dateupdated|_userupdated
1|FLU-Pregnancy|-|1|1|0|Study Nurse|(Ms.Jivanan Chompupuen, TBD)||0.00|0.00|1320000.00|1320000.00|Person|2|100.00|12.00|55000.00||||||
1|FLU-Pregnancy|-|1|1|2|Study Nurse|(Ms.Jivanan Chompupuen, Ms.Naruemon Sassungnune)|||||880000.00|Annual|||||||20170607|FLU-Pregnancy|20170607|FLU-Pregnancy
1|FLU-Pregnancy|-|1|2|0|Nurse Assistant|(Ms.Patsada Somkhuntod, Ms.Warangras Onsri)||0.00|0.00|852288.00|852288.00|Person|2|100.00|12.00|35512.00|||||20170605|FLU-Pregnancy
1|FLU-Pregnancy|-|1|3|0|Data Managing Person|(Ms.Suchada Srisarang)||0.00|0.00|426144.00|426144.00|Person|1|100.00|12.00|35512.00||||||
1|FLU-Pregnancy|-|1|4|0|Data Entry|(Ms.Jiraporn Siriarayagoson)||0.00|0.00|323868.00|323868.00|Person|1|100.00|12.00|26989.00||||||
1|FLU-Pregnancy|-|1|5|0|Project Coordinator|(Mr.Chitdej Jirapong)||0.00|0.00|660000.00|660000.00|Person|1|100.00|12.00|55000.00||||||
1|FLU-Pregnancy|-|1|6|0|Accountant|(Ms.Krongthong Jirapong)||0.00|0.00|463836.00|463836.00|Person|1|100.00|12.00|38653.00||||||
1|FLU-Pregnancy|-|1|7|0|Assistant Accountant|(Ms.Anchalee Nontongpool)||0.00|0.00|231912.00|231912.00|Person|1|100.00|12.00|19326.00||||||
1|FLU-Pregnancy|-|1|8|0|Researcher Compensation (Principal Investigator)|(Dr.Piyarat Santarattiwong)||0.00|0.00|120000.00|120000.00|Person|1|12.50|12.00|80000.00||||||
1|FLU-Pregnancy|-|1|9|0|Expert Consultant 10% of FTE|(Dr.Tawee Chotpitayasunondh)||0.00|0.00|120000.00|120000.00|Person|1|10.00|12.00|100000.00||||||
1|FLU-Pregnancy|-|1|10|0|Researcher Compensation (Newborn Investigator)|(Dr.Wiboon Kanjanapattanakul)||0.00|0.00|120000.00|120000.00|Person|1|12.50|12.00|80000.00||||||
1|FLU-Pregnancy|-|1|11|0|Researcher Compensation (Rajavithi)|(Dr.Surasak Kaoiean, Dr.Suvanna Asavapiriyanont, Dr.Podjanee Phadungkiatwattana, Dr. Nattinee Srisantiroj)||0.00|0.00|480000.00|480000.00|Person|4|12.50|12.00|80000.00||||||
1|FLU-Pregnancy|-|1|12|0|Researcher Compensation (Nopparat Rachathani)|(Dr.Boonsong Rawangban, Dr.Grisada Thomyabat, Dr.Orada Pathamasing Na Ayutaya)||0.00|0.00|360000.00|360000.00|Person|3|12.50|12.00|80000.00||||||
1|FLU-Pregnancy|-|1|13|0|Researcher Compensation (another hospital site TBD)|(TBD)||0.00|0.00|-0.00|0.00|Person|0|12.50|12.00|80000.00||||||
1|FLU-Pregnancy|-|1|14|0|Overtime for Study Nurse|(Estimate $2.35 or 80THB 88 hrs per month x6 month x 2person and $2.35 or 80THB x28 hrs x6 month x2 persons)||0.00|0.00|111360.00|111360.00|Annual||||||||||
1|FLU-Pregnancy|-|1|15|0|Overtime for Nurse Assistant|(Estimate $1.76 or 60THB 88 hrs per month x6 month x 2 persons and $2.05 or 70THB x28 hrs x6 month x2 persons)||0.00|0.00|86880.00|86880.00|Annual||||||||||
1|FLU-Pregnancy|-|1|15|1|Overtime for Nurse Assistant|(Estimate $1.76 or 60THB 88 hrs per month x4 month x 5 persons and $2.05 or 70THB x28 hrs x4 month x5 persons)|||||144800.00|Annual|||||||20170605|FLU-Pregnancy|20170605|FLU-Pregnancy
1|FLU-Pregnancy|-|1|16|0|Compensation for Study Nurse (Nopparat Rachathani hospital) (Enroll pregnant women and perform research procedures)|(Estimate $2.35 or 80THB 70 hrs per month x 12 month x 4 OB-GYN nurses)||0.00|0.00|268800.00|268800.00|Annual||||||||||
1|FLU-Pregnancy|-|1|16|1|Compensation for Study Nurse (Nopparat Rachathani hospital) (Enroll pregnant women and perform research procedures)|(Estimate $2.28 or 80THB 70 hrs per month x 5 month x 4 OB-GYN nurses)|||||112000.00|Annual|||||||20170605|FLU-Pregnancy|20170605|FLU-Pregnancy
1|FLU-Pregnancy|-|1|16|2|Compensation for Study Nurse (Nopparat Rachathani hospital) (Enroll pregnant women and perform research procedures)|(Estimate $2.28 or 80THB 70 hrs per month x 4 month x 7 OB-GYN nurses)|||||156800.00|Annual|||||||20170607|FLU-Pregnancy|20170607|FLU-Pregnancy
1|FLU-Pregnancy|-|1|17|0|Compensation for Nurse Assistant (Nopparat Rachathani hospital) (Assist Study nurse)|(Estimate $2.05 or 70THB 70 hrs per month x 12 month x 4 persons)||0.00|0.00|235200.00|235200.00|Annual||||||||||
1|FLU-Pregnancy|-|1|17|1|Compensation for Nurse Assistant (Nopparat Rachathani hospital) (Assist Study nurse)|(Estimate $2 or 70THB 70 hrs per month x 4 month x 4 persons)|||||78400.00|Annual|||||||20170605|FLU-Pregnancy|20170605|FLU-Pregnancy
1|FLU-Pregnancy|-|1|17|2|Compensation for Nurse Assistant (Nopparat Rachathani hospital) (Assist Study nurse)|(Estimate $2 or 70THB 70 hrs per month x 4 month x 7 persons)|||||137200.00|Annual|||||||20170607|FLU-Pregnancy|20170607|FLU-Pregnancy
1|FLU-Pregnancy|-|1|18|0|Compensation for government officers at Rajavithi Hospital|(Estimate $2.05 or 70THB 60 hrs per month x 12 month x 3 persons)||0.00|0.00|151200.00|151200.00|Annual||||||||||
1|FLU-Pregnancy|-|1|18|1|Compensation for government officers at Rajavithi Hospital|(Estimate $2.28 or 70THB 60 hrs per month x 4 month x 3 persons)|||||50400.00|Annual|||||||20170605|FLU-Pregnancy|20170605|FLU-Pregnancy
1|FLU-Pregnancy|-|1|19|0|Compensation for Phlebotomists|(Estimate $4.11 or 140THB 50 hrs per month x 12 month x 3 Neonatologist)||0.00|0.00|252000.00|252000.00|Annual||||||||||
1|FLU-Pregnancy|-|1|19|1|Compensation for Phlebotomists|(Estimate $4 or 140THB 50 hrs per month x 4 month x 3 Neonatologist)|||||84000.00|Annual|||||||20170605|FLU-Pregnancy|20170605|FLU-Pregnancy
1|FLU-Pregnancy|-|1|19|2|Compensation for Phlebotomists|(Estimate $2.28 or 80THB 7 hrs per day x 22 day per month x 4 months x 2 persons)|||||98560.00|Annual|||||||20170607|FLU-Pregnancy|20170607|FLU-Pregnancy
1|FLU-Pregnancy|-|1|20|0|Compensation for Medical technologist at Nopparat Rachathani hospital)|(Estimate $2.35 or 80THB 50 hrs per month x 12 month x 2 persons)||0.00|0.00|96000.00|96000.00|Annual||||||||||
1|FLU-Pregnancy|-|1|20|1|Compensation for Medical technologist at Nopparat Rachathani hospital)|(Estimate $2.35 or 80THB 50 hrs per month x 12 month x 2 persons)|||||0.00|Annual|||||||20170605|FLU-Pregnancy|20170605|FLU-Pregnancy
1|FLU-Pregnancy|-|1|21|0|Compensation for Medical technologist at QSNICH|(Estimate $2.35 or 80THB 70 hrs per month x 12 month x 2 persons)||0.00|0.00|134400.00|134400.00|Annual||||||||||
1|FLU-Pregnancy|-|1|21|1|Compensation for Medical technologist at QSNICH|(Estimate $2.35 or 80THB 70 hrs per month x 12 month x 2 persons)|||||0.00|Annual|||||||20170605|FLU-Pregnancy|20170605|FLU-Pregnancy
1|FLU-Pregnancy|-|1|22|1|Study Nurse|(Ms.Somchit Ruenthong)|||||220000.00|Person|1|100.00|4.00|55000.00|||20170605|FLU-Pregnancy|20170605|FLU-Pregnancy
