CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|AmendNo|ItemDescription|ItemDescriptionD|Restrict|CashOnHand|Carryover|New|Total|Unit|Qty|OP1|OP2|OP3|OP4|OP5|_datecreated|_usercreated|_dateupdated|_userupdated
2|DGHP-ZIKV-Ento|-|1|1|0|Compensation for Researcher|Preecha Prempree, BVBD Director||0.00|72000.00|-0.00|72000.00|Person|1|100.00|9.00|8000.00|||20170313||20170823|
2|DGHP-ZIKV-Ento|-|1|2|0|Compensation for Researcher|Darin Areechokchai||0.00|90000.00|-0.00|90000.00|Person|1|100.00|9.00|10000.00|||20170313||20170823|
2|DGHP-ZIKV-Ento|-|1|3|0|Compensation for Researcher|Piti Mongkhalangkun||0.00|90000.00|-0.00|90000.00|Person|1|100.00|9.00|10000.00|||20170313||20170823|
2|DGHP-ZIKV-Ento|-|1|4|0|Compensation for Researcher|Piraporn Utchi||0.00|90000.00|-0.00|90000.00|Person|1|100.00|9.00|10000.00|||20170313||20170823|
2|DGHP-ZIKV-Ento|-|1|5|0|Compensation for Researcher - Entomologist Lead (1) - Bueng Kan province|Kittiphit Chantee||0.00|63000.00|-0.00|63000.00|Person|1|100.00|9.00|7000.00|||20170313||20170823|
2|DGHP-ZIKV-Ento|-|1|6|0|Compensation for Researcher - Entomologist Lead (2) - Mukdahan province|Petchaboon Poolphol||0.00|63000.00|-0.00|63000.00|Person|1|100.00|9.00|7000.00|||20170313||20170823|
2|DGHP-ZIKV-Ento|-|1|7|0|Compensation for Researcher - Entomologists|||0.00|270000.00|-0.00|270000.00|Person|6|100.00|9.00|5000.00|||20170313||20170823|
2|DGHP-ZIKV-Ento|-|1|8|0|Financial Management Officer|TBD||0.00|180000.00|60000.00|240000.00|Person|1|100.00|12.00|20000.00|||20170313||20170906|
2|DGHP-ZIKV-Ento|-|1|9|0|Overtime for full time staff|[60 THB/hr ($1.76) x 30hrs x 9months] x 1 person||0.00|16200.00|-0.00|16200.00|Annual|||||||20170313||20170823|
2|DGHP-ZIKV-Ento|-|1|10|0|Compensation for government staff (Lab Technologist)|[80 THB/hr ($2.35) x 34hrs x 9months] x 7 persons||0.00|171360.00|-0.00|171360.00|Annual|||||||20170313||20170823|
2|DGHP-ZIKV-Ento|-|2|1|0|Financial Management Officer|TBD||0.00|6750.00|2250.00|9000.00|Person|1|240000.00|5.00||||20170313||20170906|
2|DGHP-ZIKV-Ento|-|2|2|0|Annual Medical Checkup for fulltime staff|$58.82 (2,000 THB) x 1 person||0.00|2000.00|-0.00|2000.00|Annual|||||||20170313||20170315|
2|DGHP-ZIKV-Ento|-|3|1|0|Supervisory visits of district BVBD staff to field sites|Non-local participants (MOPH and CoAg staff)||0.00|544000.00|32000.00|576000.00|Time|18|8.00|2.00|2000.00|0.00|0.00|20170313||20170906|
