CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|AmendNo|ItemDescription|ItemDescriptionD|Restrict|CashOnHand|Carryover|New|Total|Unit|Qty|OP1|OP2|OP3|OP4|OP5|_datecreated|_usercreated|_dateupdated|_userupdated
1|CU1-MOPH|-|1|1|0|MoPH Principal Investigator|(Permanent Secretary)||0.00|0.00|-0.00|0.00|Person|1|0.00|0.00|0.00||||||
1|CU1-MOPH|-|1|2|0|MoPH Co-Principle Investigator|(Deputy Permanent Secretary)||0.00|0.00|-0.00|0.00|Person|1|0.00|0.00|0.00||||||
1|CU1-MOPH|-|1|3|0|Program Administrative Director|(Director of Bureau of Policy and Strategy)||0.00|0.00|-0.00|0.00|Person|1|0.00|0.00|0.00||||||
1|CU1-MOPH|-|1|4|0|Project Manager|(Dr.Chakrarat Pittayawonganon)||0.00|0.00|-0.00|0.00|Person|1|0.00|0.00|0.00||||||
1|CU1-MOPH|-|1|5|0|Project Manager Assistant|(Dr.Thongtana Permbotsri)||0.00|0.00|-0.00|0.00|Person|1|0.00|0.00|0.00||||||
1|CU1-MOPH|-|1|6|0|Project Manager Assistant|(Dr.Chaninan Sonthichai)||0.00|0.00|-0.00|0.00|Person|1|0.00|0.00|0.00||||||
1|CU1-MOPH|-|1|7|0|Project Coordinator|(Mrs.Nichakorn Sirikanokvilai)||0.00|0.00|-0.00|0.00|Person|1|0.00|0.00|0.00||||||
1|CU1-MOPH|-|1|8|0|MoPH CoAg Coordinator|(Mrs.Rossukon Kangvallert)||0.00|0.00|297000.00|297000.00|Person|1|30.00|12.00|82500.00||||||
1|CU1-MOPH|-|1|9|0|MoPH CoAg Coordinator Assistant|(Mrs.Juthatip Vivatanapan)||0.00|0.00|192804.00|192804.00|Person|1|20.00|12.00|80335.00||||||
1|CU1-MOPH|-|1|10|0|Senior Accountant officer|(Ms.Charuwan Chankasorn)||0.00|0.00|323940.00|323940.00|Person|1|100.00|12.00|26995.00||||||
1|CU1-MOPH|-|1|11|0|Administrative officer|(TBD)||0.00|0.00|120000.00|120000.00|Person|1|100.00|12.00|10000.00||||||
1|CU1-MOPH|-|1|12|0|Over time for fulltime project staff|( $1.76 (or 60THB) x 50 hrs x 4 persons x 6 months)||0.00|0.00|72000.00|72000.00|Annual||||||||||
1|CU1-MOPH|-|1|13|0|Compensation for government staff|($2.05 (or 70 THB) x 90 hrs. x 5 persons x 6 months)||0.00|0.00|189000.00|189000.00|Annual||||||||||
1|CU1-MOPH|-|2|1|0|Senior Accountant officer|(Ms.Charuwan Chankasorn)||0.00|0.00|9000.00|9000.00|Person|1|323940.00|5.00|||||||
1|CU1-MOPH|-|2|2|0|Administrative officer|(TBD)||0.00|0.00|6000.00|6000.00|Person|1|120000.00|5.00|||||||
1|CU1-MOPH|-|2|3|0|Annual Medical Check-up|($58.82 or 2,000 THB * 2 persons)||0.00|0.00|4000.00|4000.00|Annual||||||||||
1|CU1-MOPH|-|3|1|0|Program Monitoring on Financial and Management|||0.00|0.00|154000.00|154000.00|Time|10|2.00|2.00|2000.00|3700.00|0.00||||
1|CU1-MOPH|-|3|1|1|Program Monitoring on Financial and Management||||||234000.00|Time|5|4.00|3.00|2000.00|5700.00|0.00|20170724|cu1-moph|20170724|cu1-moph
1|CU1-MOPH|-|3|2|0|Oversight and Advisory  visits on project Implementation and Management|||0.00|0.00|-0.00|0.00|Time|0|0.00|0.00|0.00|0.00|0.00||||
1|CU1-MOPH|-|3|2|1|Oversight and Advisory  visits on project Implementation and Management||||||65000.00|Time|2|4.00|2.00|2000.00|4125.00|0.00|20170724|cu1-moph|20170724|cu1-moph
1|CU1-MOPH|-|3|3|0|MoPH Administrative Committee|(Non-local participant)||0.00|0.00|32000.00|32000.00|Time|2|2.00|1.00|2000.00|6000.00|0.00||||
1|CU1-MOPH|-|3|3|1|MoPH Administrative Committee|(Non-local participant)|||||0.00|Time|0|2.00|1.00|2000.00|6000.00|0.00|20170724|cu1-moph|20170724|cu1-moph
1|CU1-MOPH|-|3|4|0|Meeting/Training/Workshop/Meeting Financial Management and other related meeting|(Non-local participant)||0.00|0.00|300000.00|300000.00|Time|2|30.00|2.00|2000.00|1000.00|0.00||||
1|CU1-MOPH|-|3|4|1|Meeting/Training/Workshop/Meeting Financial Management and other related meeting|(Non-local participant)|||||660000.00|Time|2|30.00|3.00|2000.00|5000.00|0.00|20170724|cu1-moph|20170724|cu1-moph
1|CU1-MOPH|-|3|5|0|Capacity Building|||0.00|0.00|1211616.00|1211616.00|Time|2|4.00|7.00|10000.00|80000.00|5808.00||||
1|CU1-MOPH|-|3|5|1|Capacity Building||||||520616.00|Time|1|4.00|7.00|8000.00|74000.00|616.00|20170724|cu1-moph|20170724|cu1-moph
1|CU1-MOPH|-|3|6|0|Knowledge management workshop (Non-local)/Organizational Development|||0.00|0.00|-0.00|0.00|Time|0|0.00|0.00|0.00|0.00|0.00||||
1|CU1-MOPH|-|3|7|0|M&E Strategic Framework Meeting and Implementation|||0.00|0.00|-0.00|0.00|Time|0|0.00|0.00|0.00|0.00|0.00||||
1|CU1-MOPH|-|3|8|0|Transportation|||0.00|0.00|6000.00|6000.00|Time|6|1.00|1.00|0.00|1000.00|0.00||||
1|CU1-MOPH|-|3|8|1|Transportation||||||12000.00|Time|6|1.00|1.00|0.00|2000.00|0.00|20170724|cu1-moph|20170724|cu1-moph
1|CU1-MOPH|-|3|9|0|Lessons learned Meeting|||0.00|0.00|-0.00|0.00|Time|0|0.00|0.00|0.00|0.00|0.00||||
1|CU1-MOPH|-|3|10|0|Sub-Steering Committee Meeting and Other related activities|(DGHP, FLU and TB)||0.00|0.00|100000.00|100000.00|Time|4|10.00|1.00|1500.00|1000.00|0.00||||
1|CU1-MOPH|-|3|10|1|Sub-Steering Committee Meeting and Other related activities|(DGHP, FLU and TB)|||||0.00|Time|0|10.00|1.00|1500.00|1000.00|0.00|20170724|cu1-moph|20170724|cu1-moph
1|CU1-MOPH|-|3|11|1|Technical Approved for support Project Draw Down||||||127000.00|Time|4|4.00|2.00|2000.00|3900.00|150.00|20170724|cu1-moph|20170724|cu1-moph
1|CU1-MOPH|-|3|12|1|Support for MoPH staff for Oral present at the 9th Global TEPHINET Conference||||||450000.00|Time|1|30.00|3.00|2000.00|9000.00|0.00|20170724|cu1-moph|20170724|cu1-moph
1|CU1-MOPH|-|5|1|0|Microsoft Office Program|||0.00|0.00|72000.00|72000.00|Set|4|18000.00||||||||
