CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|AmendNo|ItemDescription|ItemDescriptionD|Restrict|CashOnHand|Carryover|New|Total|Unit|Qty|OP1|OP2|OP3|OP4|OP5|_datecreated|_usercreated|_dateupdated|_userupdated
1|HSRP-MTN026|-|1|1|0|Study Physician|TBD, 50% cost share with HSRP-Main ($992.65 or 33,750 THB * 9 months)||0.00|0.00|-0.00|0.00|Person|1|50.00|9.00|0.00||||||
1|HSRP-MTN026|-|1|2|0|Study Assistant|TBD ($735.29 or 25,000 THB * 10 months)||0.00|0.00|-0.00|0.00|Person|1|100.00|10.00|0.00||||||
1|HSRP-MTN026|-|1|3|0|Pharmacist|TBD ($1,764.71 or 60,000 THB * 10 months)||0.00|0.00|-0.00|0.00|Person|1|100.00|10.00|0.00||||||
1|HSRP-MTN026|-|2|1|0|Study Assistant|$22.06 or 750 THB * 10 months||0.00|0.00|-0.00|0.00|Annual||||||||||
1|HSRP-MTN026|-|2|2|0|Pharmacist|$22.06 or 750 THB * 10 months||0.00|0.00|-0.00|0.00|Annual||||||||||
1|HSRP-MTN026|-|2|3|0|Medical check-up|$58.82 or 2,000 THB * 2 persons||0.00|0.00|-0.00|0.00|Annual||||||||||
1|HSRP-MTN026|-|3|1|0|Microbicides Trial Network (MTN) annual meeting|North Bethesda, Maryland, USA in March 2017||0.00|0.00|-0.00|0.00|Time|1|2.00|6.00|0.00|0.00|0.00||||
1|HSRP-MTN026|-|4|1|0|PC computer|$735.29 or 25,000 THB * 1 set||0.00|0.00|-0.00|0.00|Set|1|0.00||||||||
1|HSRP-MTN026|-|4|2|0|UPS for PC computer|$102.94 * 3,500 THB * 1 set||0.00|0.00|-0.00|0.00|Set|1|0.00||||||||
1|HSRP-MTN026|-|4|3|0|Printer|$456.76 or 15,530 THB * 1 set||0.00|0.00|-0.00|0.00|Set|1|0.00||||||||
1|HSRP-MTN026|-|4|4|0|Fax|$529.41 or 18,000 THB * 1 set||0.00|0.00|-0.00|0.00|Set|1|0.00||||||||
1|HSRP-MTN026|-|5|1|0|Office supplies|For administrative use to support project ($147.06 or 5,000 THB * 10 months)||0.00|0.00|-0.00|0.00|Month|10|0.00||||||||
