CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|AmendNo|ItemDescription|ItemDescriptionD|Restrict|CashOnHand|Carryover|New|Total|Unit|Qty|OP1|OP2|OP3|OP4|OP5|_datecreated|_usercreated|_dateupdated|_userupdated
1|DGHP-PrOZINT|MH|1|1|0|Project Manager|(Name: TBD)||0.00|0.00|114000.00|114000.00|Person|1|100.00|3.00|38000.00|||20161115||20170217|
1|DGHP-PrOZINT|MH|1|2|0|Financial and Administrative Officer|(Name: TBD)||0.00|0.00|60000.00|60000.00|Person|1|100.00|3.00|20000.00|||20161115||20170217|
1|DGHP-PrOZINT|MH|1|3|0|Research nurse|(Name: TBD)||0.00|0.00|90000.00|90000.00|Person|1|100.00|3.00|30000.00|||20161115||20170822|dghp-prozint-mh
1|DGHP-PrOZINT|MH|1|4|0|Compensation for Government staffs|([$2.05/hr x 40 hrs x 3 months] x 12 persons)||0.00|0.00|100800.00|100800.00|Annual|||||||20161116||20170217|
1|DGHP-PrOZINT|MH|2|1|0|Project Manager|(Name: TBD)||0.00|0.00|2250.00|2250.00|Person|1|45000.00|5.00||||20161115||20170217|
1|DGHP-PrOZINT|MH|2|2|0|Financial and Administrative Officer|(Name: TBD)||0.00|0.00|2250.00|2250.00|Person|1|45000.00|5.00||||20161115||20170217|
1|DGHP-PrOZINT|MH|2|3|0|Research nurse|(Name: TBD)||0.00|0.00|2250.00|2250.00|Person|1|45000.00|5.00||||20161115||20170217|
1|DGHP-PrOZINT|MH|2|4|0|Annual Medical Check-up|(3 CoAg staffs x $58.82)||0.00|0.00|6000.00|6000.00|Annual|||||||20161115||20170217|
1|DGHP-PrOZINT|MH|3|1|0|Capacity building training/meeting|(Details: Budget justification)||0.00|0.00|54000.00|54000.00|Time|1|6.00|2.00|2000.00|5000.00|0.00|20161115||20170217|
1|DGHP-PrOZINT|MH|4|1|0|Laboratory Equipment|(Details: Budget justification)||0.00|0.00|1170000.00|1170000.00|Time|1|1170000.00|||||20161115||20170217|
1|DGHP-PrOZINT|MH|4|2|0|Office Equipment|(Details: Budget justification)||0.00|0.00|28510.00|28510.00|Time|1|28510.00|||||20161115||20170217|
1|DGHP-PrOZINT|MH|4|3|0|IT Equipment|(Details: Budget justification)||0.00|0.00|353700.00|353700.00|Time|1|353700.00|||||20161115||20170217|
1|DGHP-PrOZINT|MH|5|1|0|Office Supplies|(Details: Budget justification)||0.00|0.00|30000.00|30000.00|Time|1|30000.00|||||20161115||20170217|
1|DGHP-PrOZINT|MH|5|2|0|Medical and lab Supplies|(Details: TBC; Dengue test kits, TORCH, rapid test kit, PCR test kit)||0.00|0.00|150000.00|150000.00|Time|1|150000.00|||||20161115||20170217|
1|DGHP-PrOZINT|MH|5|3|0|IT Suppies|(Details: Budget justification)||0.00|0.00|110000.00|110000.00|Time|1|110000.00|||||20161115||20170217|
