CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|SpendNo|SpendDescription|DateSpent|AmountSpent|ChequeSpent|DateAdjusted|AmountAdjusted|ChequeAdjusted|DateObligated|AmountObligated|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|SI|DTU|1|1|10|Full time Project coordinator Ms.Nattawan K.|20161130|19250.00|10174724|20161130|750.00|10174425|||เงินเดือน พย.59 ประกันสังคม ลจ.พย.|20170112|si-dtu|20170112|SI-DTU
1|SI|DTU|1|1|20|Full time Project coordinator Ms.Nattawan K.|20170201|20350.00|10174734|20170201|750.00|10174735|||เงินเดือน มค.ลจ ประกันสังคม ลจ.มค.|20170208|si-dtu|20170308|
1|SI|DTU|1|1|23|Full time Project coordinator Ms.Nattawan K.|20170228|20350.00|10174739|20170228|750.00|10174740|||เงินเดือน กพ.ลจ ประกันสังคม กพ.ลจ.|20170308||20170308|
1|SI|DTU|1|1|36|Full time Project coordinator Ms.Nattawan K.|20161114|38500.00|10174721|20161115|1500.00|10174722|||เงินเดือน กย.-ตค.59 ประกันสังคม ลจ.กย.-ตค.|20170112|si-dtu|20170610|si-dtu
1|SI|DTU|1|1|37|Full time Project coordinator Ms.Nattawan K.|20161230|23650.00|10174730|20161230|750.00|10174731|||เงินเดือน ธค.59 (ตกเบิก กย.-พย. 59 เดือนละ 1100=3000) ประกันสังคม ลจ.ธค.|20170112|SI-DTU|20170610|si-dtu
1|SI|DTU|1|1|40|Full time Project coordinator Ms.Nattawan K.|20170428|20350.00|10194753|20170428|750.00|10194755|||เงินเดือน เม.ย.ลจ ประกันสังคม เม.ย.ลจ.|20170515|si-dtu|20170711|si-dtu
1|SI|DTU|1|1|44|Full time Project coordinator |20170831|18250.00|10210093|20170831|750.00|10210094|||งินเดือน  สค. ลจ ประกันสังคม สค ลจ.|20170911|si-dtu|20170911|si-dtu
1|SI|DTU|1|1|45|Full time Project coordinator Ms.Nattawan K.|20170329|1460.00|10194745||||||ค่า OT กพ. 60|20170426|si-dtu|20170925|si-dtu
1|SI|DTU|1|1|46|Full time Project coordinator Ms.Nattawan K.|20170331|20350.00|10194746|20170331|750.00|10194748|||เงินเดือน มีค.ลจ ประกันสังคม มึค.ลจ|20170418|si-dtu|20170925|si-dtu
1|SI|DTU|1|1|48|Full time Project coordinator |20170531|246.00|10194760||||||ประกันสังคม พค 60 ลจ.|20170925|si-dtu|20170925|si-dtu
1|SI|DTU|1|1|49|Full time Project coordinator Ms.Nattawan K.|20170530|4677.00|10194758|20170831|-158.50|Cash|||เงินเดือน  พค. ลจ คืนเงินเข้าบัญชี 27 กย 60|20170711|si-dtu|20170927|si-dtu
1|SI|DTU|1|2|6|Full time programmer |20170428|29250.00|10194754|20170428|750.00|10194755|||เงินเดือนโปรแกรมเมอร์ เม.ย. ประกันสังคม เม.ย.|20170515|si-dtu|20170515|si-dtu
1|SI|DTU|1|2|9|Full time programmer Mr.Pichitpon|20170531|29250.00|10194759|20170531|750.00|10194760|||เงินเดือนโปรแกรมเมอร์ พค. ประกันสังคม พค.|20170711|si-dtu|20170711|si-dtu
1|SI|DTU|1|2|12|Full time programmer Mr.Pichitpon|20170630|29250.00|10210084|20170630|750.00|10210085|||เงินเดือนโปรแกรมเมอร์ มิย. ประกันสังคม มิย.|20170803|si-dtu|20170803|si-dtu
1|SI|DTU|1|2|16|Full time programmer Mr.Pichitpon|20170331|750.00|10194748||||||ประกันสังคมโปรแกรมเมอร์ มี.ค. 60|20170925|si-dtu|20170925|si-dtu
1|SI|DTU|1|2|18|Full time programmer Mr.Pichitpon|20170731|750.00|10225062||||||ประกันสังคมโปรแกรมเมอร์ ก.ค.60|20170925|si-dtu|20170925|si-dtu
1|SI|DTU|1|2|21|Full time programmer |20170331|25250.00|10194747|20170831|-839.00|Cash|||เงินเดือนโปรแกรมเมอร์ มีค. เงินคืนเข้าบัญชี 27 ก.ย.60|20170418|si-dtu|20170927|si-dtu
1|SI|DTU|1|2|22|Full time programmer Mr.Pichitpon|20170731|22250.00|10210088|20170831|-742.00|Cash|||เงินเดือนโปรแกรมเมอร์ กค. เงินคืนเข้าบัญชี 27 กย.60|20170817|si-dtu|20170927|si-dtu
1|SI|DTU|1|3|4|Overtime for Project staff Project Coordinator and Programmer ($2.06/hourx14 hoursx12monthsx2persons)|20161216|3880.00|10174728||||||ค่า OT พย.59|20170112|SI-DTU|20170208|si-dtu
