CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|AmendNo|ItemDescription|ItemDescriptionD|Restrict|CashOnHand|Carryover|New|Total|Unit|Qty|OP1|OP2|OP3|OP4|OP5|_datecreated|_usercreated|_dateupdated|_userupdated
1|DGHP-PrOZINT|BU|1|1|0|Project Manager|(Name: TBD)||0.00|0.00|114000.00|114000.00|Person|1|100.00|3.00|38000.00|||20161115||20170217|
1|DGHP-PrOZINT|BU|1|2|0|Financial and Administrative Officer|(Name: TBD)||0.00|0.00|60000.00|60000.00|Person|1|100.00|3.00|20000.00|||20161115||20170217|
1|DGHP-PrOZINT|BU|1|3|0|Research nurse|(Name: TBD)||0.00|0.00|90000.00|90000.00|Person|1|100.00|3.00|30000.00|||20161115||20170217|
1|DGHP-PrOZINT|BU|1|4|0|Compensation for Government staffs|([$2.05/hr x 40 hrs x 3 months] x 12 persons)||0.00|0.00|100800.00|100800.00|Annual|||||||20161116||20170217|
1|DGHP-PrOZINT|BU|2|1|0|Project Manager|(Name: TBD)||0.00|0.00|2250.00|2250.00|Person|1|45000.00|5.00||||20161115||20170217|
1|DGHP-PrOZINT|BU|2|2|0|Financial and Administrative Officer|(Name: TBD)||0.00|0.00|2250.00|2250.00|Person|1|45000.00|5.00||||20161115||20170217|
1|DGHP-PrOZINT|BU|2|3|0|Research nurse|(Name: TBD)||0.00|0.00|2250.00|2250.00|Person|1|45000.00|5.00||||20161115||20170217|
1|DGHP-PrOZINT|BU|2|4|0|Annual Medical Check-up|(3 CoAg staffs x $58.82)||0.00|0.00|6000.00|6000.00|Annual|||||||20161115||20170217|
1|DGHP-PrOZINT|BU|3|1|0|Capacity building training/meeting|(Details: Budget justification)||0.00|0.00|54000.00|54000.00|Time|1|6.00|2.00|2000.00|5000.00|0.00|20161115||20170217|
1|DGHP-PrOZINT|BU|4|1|0|Laboratory Equipment|(Details: Budget justification)||0.00|0.00|1170000.00|1170000.00|Time|1|1170000.00|||||20161115||20170217|
1|DGHP-PrOZINT|BU|4|2|0|Office Equipment|(Details: Budget justification)||0.00|0.00|28510.00|28510.00|Time|1|28510.00|||||20161115||20170217|
1|DGHP-PrOZINT|BU|4|3|0|IT Equipment|(Details: Budget justification)||0.00|0.00|353700.00|353700.00|Time|1|353700.00|||||20161115||20170217|
1|DGHP-PrOZINT|BU|5|1|0|Office Supplies|(Details: Budget justification)||0.00|0.00|30000.00|30000.00|Time|1|30000.00|||||20161115||20170217|
1|DGHP-PrOZINT|BU|5|2|0|Medical and lab Supplies|(Details: TBC; Dengue test kits, TORCH, rapid test kit, PCR test kit)||0.00|0.00|150000.00|150000.00|Time|1|150000.00|||||20161115||20170217|
1|DGHP-PrOZINT|BU|5|3|0|IT Suppies|(Details: Budget justification)||0.00|0.00|110000.00|110000.00|Time|1|110000.00|||||20161115||20170217|
1|DGHP-PrOZINT|BU|8|1|0|Information meeting|(2 days meeting: 1 time x Participant support cost, $17.65 (THB 600/ day) x 20 persons)||0.00|0.00|24000.00|24000.00|Time|1|20.00|2.00|600.00|0.00|0.00|20161116||20170217|
1|DGHP-PrOZINT|BU|8|2|0|Kickoff Meeting|(1 days meeting: 1 time x Participant support cost,  $17.65 (THB 600/ day) x 50 persons)||0.00|0.00|60000.00|60000.00|Time|1|50.00|2.00|600.00|0.00|0.00|20161116||20170217|
1|DGHP-PrOZINT|BU|8|3|0|Capacity meeting/training|(2 day meeting: 3 times Participant support cost, $17.65 (THB 600/ day) x 20  persons)||0.00|0.00|48000.00|48000.00|Time|2|20.00|2.00|600.00|0.00|0.00|20161116||20170217|
1|DGHP-PrOZINT|BU|8|4|0|Meeting facilities|(4 times x $58.82 (THB 2,000))||0.00|0.00|8000.00|8000.00|Annual|||||||20161116||20170217|
1|DGHP-PrOZINT|BU|8|5|0|Photocopying|(6 mths x $117.64)||0.00|0.00|12000.00|12000.00|Month|3|||||4000.00|20161116||20170217|
1|DGHP-PrOZINT|BU|8|6|0|Specimen/document shipping to Bangkok|(6 mths x $88.24 ((THB 3,000)/mth)||0.00|0.00|9000.00|9000.00|Month|3|||||3000.00|20161116||20170217|
1|DGHP-PrOZINT|BU|8|8|0|Communication cost|(6 mths x $176.47)||0.00|0.00|18000.00|18000.00|Monthg|3|||||6000.00|20161122||20170217|
2|DGHP-PrOZINT|BU|1|1|0|Compensation for Researcher|(TBD-8)||0.00|240000.00|9600.00|249600.00|Person|8|100.00|12.00|2600.00|||20170202||20170915|
2|DGHP-PrOZINT|BU|1|2|0|Project Manager|Mr.Pitchayut Pawaragiatsakul||0.00|456000.00|0.00|456000.00|Person|1|100.00|12.00|38000.00|||20170202||20170829|
2|DGHP-PrOZINT|BU|1|3|0|Project data manager|(TBD)||0.00|240000.00|36000.00|276000.00|Person|1|100.00|12.00|23000.00|||20170202||20170829|
2|DGHP-PrOZINT|BU|1|4|0|Financial and Administrative Officer|Ms.Niya  Banyong||0.00|264000.00|0.00|264000.00|Person|1|100.00|12.00|22000.00|||20170202||20170914|
2|DGHP-PrOZINT|BU|1|5|0|Research Nurse (2)|(TBD)||0.00|720000.00|-0.00|720000.00|Person|2|100.00|12.00|30000.00|||20170202||20170331|
2|DGHP-PrOZINT|BU|1|6|0|Research Assistant (8)|(TBD)||0.00|0.00|1728000.00|1728000.00|Person|8|100.00|12.00|18000.00|||20170202||20170829|
2|DGHP-PrOZINT|BU|1|7|0|Lab Technician|(TBD)||0.00|288000.00|-0.00|288000.00|Person|1|100.00|12.00|24000.00|||20170202||20170202|
2|DGHP-PrOZINT|BU|1|8|0|Overtimes for full-time CoAg staff|($1.76/hr x 56 hr x 12 months x 14 persons)||262080.00|302400.00|0.00|564480.00|Annual|||||||20170202||20171010|
2|DGHP-PrOZINT|BU|1|9|0|Compensation for Government staffs|($2.05/hr x 20 hrs x 12 months x 10 persons||0.00|168000.00|0.00|168000.00|Annual|||||||20170202||20170918|
2|DGHP-PrOZINT|BU|2|1|0|Project manager|Mr.Pitchayut Pawaragiatsakul||0.00|9000.00|0.00|9000.00|Person|1|180000.00|5.00||||20170202||20170916|
2|DGHP-PrOZINT|BU|2|2|0|Project data manager|(TBD)||0.00|9000.00|-0.00|9000.00|Person|1|180000.00|5.00||||20170202||20170202|
2|DGHP-PrOZINT|BU|2|3|0|Financial and Administrative Officer|Ms.Niya  Banyong||0.00|9000.00|0.00|9000.00|Person|1|180000.00|5.00||||20170202||20170916|
2|DGHP-PrOZINT|BU|2|4|0|Research Nurse  (2)|(TBD)||0.00|18000.00|-0.00|18000.00|Person|2|180000.00|5.00||||20170202||20170331|
2|DGHP-PrOZINT|BU|2|5|0|Research Assistant  (8)|(TBD)||0.00|0.00|72000.00|72000.00|Person|8|180000.00|5.00||||20170202||20170405|
2|DGHP-PrOZINT|BU|2|6|0|Lab Technician|(TBD)||0.00|9000.00|-0.00|9000.00|Person|1|180000.00|5.00||||20170202||20170202|
2|DGHP-PrOZINT|BU|2|7|0|Annual Medical Check-up|14 persons x $58.82 (THB 2,000)||0.00|26000.00|2000.00|28000.00|Annual|||||||20170202||20170405|
2|DGHP-PrOZINT|BU|3|1|0|Kick-off Meeting|Travel per diem $58.82 (THB 2,000) x  3 days x  8 persons (Airfare $205.88/person)||0.00|0.00|104000.00|104000.00|Time|1|8.00|3.00|2000.00|7000.00|0.00|20170202||20170916|
2|DGHP-PrOZINT|BU|3|2|0|Capacity building training/meeting|3 times, Travel per diem $58.82 (THB 2,000) x  3 days x  4 persons (Airfare $205.88/person)||0.00|0.00|156000.00|156000.00|Time|3|4.00|3.00|2000.00|7000.00|0.00|20170202||20170916|
2|DGHP-PrOZINT|BU|3|3|0|Transportation cost/ fuel|(Ground transportation: $14.71 (THB 500/trip) x 2 trips x 10 persons]  + [Van rental; $141.17 (THB 4,800/day) x 4 vans x 2 days] )||0.00|0.00|48400.00|48400.00|Annual|||||||20170202||20170209|
2|DGHP-PrOZINT|BU|3|4|0|Scientific Meeting|Airfare $261 x 30 persons Travel per diem: $58.82 (THB 2,000/ day) x 3 days x 60 persons + Participant support cost: $17.65 (THB 600/ day) x 2 days x 30 persons||0.00|0.00|662235.00|662235.00|Annual|||||||20170915||20170915|
2|DGHP-PrOZINT|BU|4|1|0|Laboratory Equipment|(See budget justification for details)||0.00|226000.00|1170000.00|1396000.00|Time|1|1396000.00|||||20170202||20170907|
2|DGHP-PrOZINT|BU|4|2|0|Office Equipment|(See budget justification for details)||0.00|36000.00|54000.00|90000.00|Time|1|90000.00|||||20170202||20170907|
2|DGHP-PrOZINT|BU|4|3|0|IT Equipment|6 sets x $1,323.52  4 sets x $941.17  1 set x $264.70||0.00|406600.00|0.00|406600.00|Time|1|406600.00|||||20170202||20171010|
2|DGHP-PrOZINT|BU|5|1|0|Office Supplies|(4 times x $404.41)||0.00|20000.00|86240.00|106240.00|Time|4|26560.00|||||20170202||20171010|
2|DGHP-PrOZINT|BU|5|2|0|Medical & Lab Supplies|(4 times x $6,058.64) (1 times x $4,411.76)||0.00|0.00|823976.00|823976.00|Annual|||||||20170202||20170918|
2|DGHP-PrOZINT|BU|5|3|0|IT Supplies|(1 times x $2,464.14)||0.40|59315.00|83781.00|143096.40|Time|1|143096.40|||||20170202||20171010|
2|DGHP-PrOZINT|BU|6|1|0|Specimen shipping and transportation (Van/Motorcycle)|($1,323.53x 12mths)||0.00|540000.00|-0.00|540000.00|Month|12|45000.00|||||20170202||20170328|
2|DGHP-PrOZINT|BU|8|1|0|Specimen, document and package shipping to Bangkok|(12 months x $294.11)||0.00|60000.00|60000.00|120000.00|Month|12|||||10000.00|20170202||20170916|
2|DGHP-PrOZINT|BU|8|2|0|Specimen transportation within the province|THB 8,000/m x 8 district hospitals x 12 mths||0.00|0.00|768000.00|768000.00|Month|12|||||64000.00|20170403||20170908|
2|DGHP-PrOZINT|BU|8|3|0|Compensation for research participants|(See budget justification for details)||1629612.00|3097750.00|677538.00|5404900.00|Annual|||||||20170202||20171010|
2|DGHP-PrOZINT|BU|8|4|0|Compensation for specimen collection/processing|1,000 cases*6 f/u x $2.94 (THB100), (1,000*8%) f/u 8 times x $2.94, (1,000*8%) * 4 control * 8 visits x $2.94||0.00|0.00|920000.00|920000.00|Annual|||||||20170403|||
2|DGHP-PrOZINT|BU|8|5|0|Information meeting|(4 times x Participant support cost, $17.65 (THB 600/ day) x2 days x 88 persons)||0.00|52800.00|0.00|52800.00|Time|1|88.00|1.00|600.00|0.00|0.00|20170202||20170918|
