CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|SpendNo|SpendDescription|DateSpent|AmountSpent|ChequeSpent|DateAdjusted|AmountAdjusted|ChequeAdjusted|DateObligated|AmountObligated|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|DGHP-EIGNA|-|1|5|2|Data manager Miss Pawanrat Threekhan|20161025|20250.00|10169841|20161025|750.00|10169848|||เงินเดือน+ประกันสังคม กันยายน 2559|20170115|DGHP-EIGNA|20170115|DGHP-EIGNA
1|DGHP-EIGNA|-|1|5|5|Data manager Miss Pawanrat Threekhan|20161025|20250.00|10169849|20161031|750.00|10169856|||เงินเดือน+ประกันสังคม ตุลาคม 2559|20170115|DGHP-EIGNA|20170115|DGHP-EIGNA
1|DGHP-EIGNA|-|1|5|7|Data manager Miss Pawanrat Threekhan|20161125|20250.00|10174751|20161130|750.00|10174766|||เงินเดือน+ประกันสังคม พฤศจิกายน 2559|20170204|DGHP-EIGNA|20170204|DGHP-EIGNA
1|DGHP-EIGNA|-|1|5|10|Data manager Miss Pawanrat Threekhan|20161226|20250.00|10174778|20170106|750.00|10174785|||เงินเดือน+ประกันสังคม ธันวาคม 2559|20170204|DGHP-EIGNA|20170206|DGHP-EIGNA
1|DGHP-EIGNA|-|1|5|13|Data manager Miss Pawanrat Threekhan|20170125|20250.00|10174805|20170203|750.00|10174812|||เงินเดือน+ประกันสังคม มกราคม 2560|20170206|DGHP-EIGNA|20170228|DGHP-EIGNA
1|DGHP-EIGNA|-|1|5|15|Data manager Miss Pawanrat Threekhan|20170217|11400.00|10174829|20170227|600.00|10174836|||เงินเดือน+ประกันสังคม  กุมภาพันธ์ 2560|20170302|DGHP-EIGNA|20170302|DGHP-EIGNA
1|DGHP-EIGNA|-|1|5|19|Data manager Mr.Thanagrit Boonchaidung|20170327|20250.00|10174929|20170330|750.00|10200363|||เงินเดือน+ประกันสังคม มีนาคม 2560|20170421|DGHP-EIGNA|20170425|DGHP-EIGNA
1|DGHP-EIGNA|-|1|5|28|Data manager Mr.Thanagrit Boonchaidung|20170425|20250.00|10200370|20170505|750.00|10200399|||เงินเดือน+ประกันสังคม เมษายน 2560|20170501|DGHP-EIGNA|20170526|DGHP-EIGNA
1|DGHP-EIGNA|-|1|5|33|Data manager Mr.Thanagrit Boonchaidung|20170626|20250.00|10200454|20170627|750.00|10200461|||เงินเดือน+ประกันสังคม มิถุนายน 2560|20170711|DGHP-EIGNA|20170712|DGHP-EIGNA
1|DGHP-EIGNA|-|1|5|36|Data manager Mr.Thanagrit Boonchaidung|20170725|20250.00|10200502|20170725|750.00|10200509|||เงินเดือน+ประกันสังคม กรกฎาคม 2560|20170721|DGHP-EIGNA|20170721|DGHP-EIGNA
1|DGHP-EIGNA|-|1|5|40|Data manager Mr.Thanagrit Boonchaidung|20170525|20250.00|10200412|20170525|750.00|10200419|||เงินเดือน+ประกันสังคม พฤษภาคม 2560|20170519|DGHP-EIGNA|20170914|DGHP-EIGNA
1|DGHP-EIGNA|-|1|5|41|Data manager Mr.Thanagrit Boonchaidung|20170825|20250.00|10200535|20170831|750.00|10200551|||เงินเดือน+ประกันสังคม สิงหาคม 2560|20170823|DGHP-EIGNA|20170914|DGHP-EIGNA
1|DGHP-EIGNA|-|1|6|1|Laboratory technician Miss Porntip Paopang|20161025|20250.00|10169842|20161025|750.00|10169848|||เงินเดือน+ประกันสังคม กันยายน 2559|20170115|DGHP-EIGNA|20170115|DGHP-EIGNA
1|DGHP-EIGNA|-|1|6|3|Laboratory technician Miss Porntip Paopang|20161025|20250.00|10169850|20161031|750.00|10169856|||เงินเดือน+ประกันสังคม ตุลาคม 2559|20170115|DGHP-EIGNA|20170115|DGHP-EIGNA
1|DGHP-EIGNA|-|1|6|5|Laboratory technician Miss Porntip Paopang|20161125|20250.00|10174752|20161130|750.00|10174766|||เงินเดือน+ประกันสังคม พฤศจิกายน 2559|20170204|DGHP-EIGNA|20170204|DGHP-EIGNA
1|DGHP-EIGNA|-|1|6|8|Laboratory technician Miss Porntip Paopang|20161226|20250.00|10174779|20170106|750.00|10174785|||เงินเดือน+ประกันสังคม ธันวาคม 2559|20170204|DGHP-EIGNA|20170206|DGHP-EIGNA
1|DGHP-EIGNA|-|1|6|11|Laboratory technician Miss Porntip Paopang|20170125|20250.00|10174806|20170203|750.00|10174812|||เงินเดือน+ประกันสังคม มกราคม 2560|20170206|DGHP-EIGNA|20170228|DGHP-EIGNA
1|DGHP-EIGNA|-|1|6|13|Laboratory technician Miss Porntip Paopang|20170227|20250.00|10174830|20170227|750.00|10174836|||เงินเดือน+ประกันสังคม  กุมภาพันธ์ 2560|20170302|DGHP-EIGNA|20170302|DGHP-EIGNA
1|DGHP-EIGNA|-|1|6|16|Laboratory technician Miss Porntip Paopang|20170327|20250.00|10174928|20170330|750.00|10200363|||เงินเดือน+ประกันสังคม มีนาคม 2560|20170421|DGHP-EIGNA|20170421|DGHP-EIGNA
