CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|AmendNo|ItemDescription|ItemDescriptionD|Restrict|CashOnHand|Carryover|New|Total|Unit|Qty|OP1|OP2|OP3|OP4|OP5|_datecreated|_usercreated|_dateupdated|_userupdated
1|HSRP-YMSM|-|1|1|0|Project Coordinator|Mr. Kittichai Theankham and TBD ($676.47 or 23,000 THB * 9 months) * 2 persons||0.00|0.00|414000.00|414000.00|Person|2|100.00|9.00|23000.00||||||
1|HSRP-YMSM|-|1|2|0|Community Liaison|Mr. Direk Tatiew ($294.12 or 10,000 THB * 9 months)||0.00|0.00|90000.00|90000.00|Person|1|20.00|9.00|50000.00||||||
1|HSRP-YMSM|-|1|3|0|Compensation for government officers|TBD ($2.06 or 70 THB * 28 hrs * 4 persons * 12 months), ($2.06 or 70 THB * 21 hrs * 4 persons * 12 months)||0.00|0.00|164640.00|164640.00|Annual||||||||||
1|HSRP-YMSM|-|2|1|0|Project Coordinator (Mr. Kittichai Theankham, and TBD)|$22.06 or 750 THB * 9 months * 2 persons||0.00|0.00|13500.00|13500.00|Annual||||||||||
1|HSRP-YMSM|-|2|2|0|Annual Medical check up|$58.82 or 2,000 THB * 2 persons||0.00|0.00|4000.00|4000.00|Annual||||||||||
1|HSRP-YMSM|-|3|1|0|Scientific meeting|||0.00|0.00|45880.00|45880.00|Time|1|4.00|2.00|1060.00|2000.00|29400.00||||
1|HSRP-YMSM|-|3|2|0|Training on counseling|||0.00|0.00|68490.00|68490.00|Time|1|3.00|3.00|1060.00|2000.00|52950.00||||
1|HSRP-YMSM|-|3|3|0|Training on Human Subject Protection|||0.00|0.00|36360.00|36360.00|Time|1|6.00|1.00|1060.00|2000.00|18000.00||||
1|HSRP-YMSM|-|3|4|0|Monitoring and evaluation|||0.00|0.00|17120.00|17120.00|Time|2|2.00|2.00|1140.00|2000.00|0.00||||
1|HSRP-YMSM|-|3|4|4|Monitoring and evaluation||||||40200.00|Time|1|6.00|3.00|2000.00|700.00|0.00|20170817|hsrp-ymsm|20170817|hsrp-ymsm
1|HSRP-YMSM|-|3|5|0|International AIDS Society Conference|Paris, France during July 18-28, 2017||0.00|0.00|872000.00|872000.00|Time|1|4.00|11.00|10623.00|60000.00|164588.00||||
1|HSRP-YMSM|-|3|6|1|Press conference for study kick-off|(MoPH participants) 1 time/ year|||||22000.00|Time|1|8.00|1.00|2000.00|750.00|0.00|20170302|hsrp-ymsm|20170302|hsrp-ymsm
1|HSRP-YMSM|-|3|7|1|Site visit to Silom Community Clinic @TropMed for YMSM Study Preparation||||||42400.00|Time|1|8.00|2.00|2000.00|1300.00|0.00|20170302|hsrp-ymsm|20170302|hsrp-ymsm
1|HSRP-YMSM|-|3|8|3|Project dry-run activity|at Nakhon Sawan site|||||86000.00|Time|1|10.00|4.00|2000.00|600.00|0.00|20170530|hsrp-ymsm|20170530|hsrp-ymsm
1|HSRP-YMSM|-|4|1|0|Desktop Computer (1 unit for Office of Disease Prevention and Control 3, 1 unit for Bangrak Hospital)|$647.06 or 22,000 THB * 2 units||0.00|0.00|44000.00|44000.00|Unit|2|22000.00||||||||
1|HSRP-YMSM|-|4|2|0|UPS|$94.12 or 3,200 THB * 2 units||0.00|0.00|6400.00|6400.00|Unit|2|3200.00||||||||
1|HSRP-YMSM|-|4|3|0|Laptop Computer (1 unit for Office of Disease Prevention and Control 3, 1 unit for Bangrak Hospital)|$617.65 or 21,000 THB * 2 units||0.00|0.00|42000.00|42000.00|Unit|2|21000.00||||||||
1|HSRP-YMSM|-|4|4|0|Tablet|$367.65 or 12,500 THB * 8 units||0.00|0.00|100000.00|100000.00|Unit|8|12500.00||||||||
1|HSRP-YMSM|-|4|5|0|Printer|$232.35 or 7,900 THB * 2 units||0.00|0.00|15800.00|15800.00|Unit|2|7900.00||||||||
1|HSRP-YMSM|-|5|1|0|IT supplies|Thumb drive, micro SD card, tablet case cover, power bank||0.00|0.00|34000.00|34000.00|Time|1|34000.00||||||||
1|HSRP-YMSM|-|5|2|0|Office supplies for documents and training materials|$2.94 or 100 THB * 145 sets||0.00|0.00|14500.00|14500.00|Set|145|100.00||||||||
1|HSRP-YMSM|-|5|3|0|Office supplies for brochures and consent forms|||0.00|0.00|72000.00|72000.00|Set|3600|20.00|||||||20170530|hsrp-ymsm
1|HSRP-YMSM|-|5|4|0|Tube (screening and study period)|$2.94 or 100 THB * 1,060 tubes||0.00|0.00|106000.00|106000.00|Unit|1060|100.00||||||||
1|HSRP-YMSM|-|5|5|0|Other supplies|$1.47 or 50 THB * 240 persons||0.00|0.00|12000.00|12000.00|Case|240|50.00||||||||
1|HSRP-YMSM|-|5|5|4|Other supplies|$5,882.35 or 200,000 THB * 1 Year|||||200000.00|Annual|||||||20170817|hsrp-ymsm|20170817|hsrp-ymsm
1|HSRP-YMSM|-|5|6|3|IT Software License|(Windows, MS Office, STATA)|||||250000.00|Annual|||||||20170530|hsrp-ymsm|20170530|hsrp-ymsm
1|HSRP-YMSM|-|6|1|0|Application for adherence (contract for MOPH to create a software application for smart phones to assist with Pre-Exposure Prophylaxis medication adherence)|$27,352.94 or 930,000 THB * 1 time, see budget details||0.00|0.00|930000.00|930000.00|Time|1|930000.00||||||||
1|HSRP-YMSM|-|6|2|0|PrEP for HIV prevention|$352.94 or 12,000 THB/case * 100 cases||0.00|0.00|1200000.00|1200000.00|Case|100|12000.00||||||||
1|HSRP-YMSM|-|8|1|0|Participants compensation at Nakhon Sawan and Bangrak site|$16.18 or 550 THB * 240 participants * 5 visits||0.00|0.00|660000.00|660000.00|Case|1200|||||550.00||||
1|HSRP-YMSM|-|8|2|0|Participants compensation for Cohort|$23.53 or 800 THB * 500 participants * 5 visits||0.00|0.00|2000000.00|2000000.00|Case|2500|||||800.00||||
1|HSRP-YMSM|-|8|3|0|Participants compensation for PrEP intervention|$23.53 or 800 THB * 300 participants * 5 visits||0.00|0.00|1200000.00|1200000.00|Case|1500|||||800.00||||
1|HSRP-YMSM|-|8|3|4|Participants compensation for PrEP intervention|$23.53 or 800 THB * 300 participants * 5 visits|||||1130286.00|Annual|||||||20170817|hsrp-ymsm|20170817|hsrp-ymsm
1|HSRP-YMSM|-|8|4|0|Focus group discussion|($23.53 or 800 THB * 8 persons * 5 times, note taker $44.12 or 1,500 THB * 5 times)||0.00|0.00|39500.00|39500.00|Time|5|8.00|1.00|800.00|0.00|1500.00||||
1|HSRP-YMSM|-|8|5|0|Key informant interview|$23.53 or 800 THB * 12 persons||0.00|0.00|9600.00|9600.00|Time|1|12.00|1.00|800.00|0.00|0.00||||
1|HSRP-YMSM|-|8|6|0|Medical and lab test (Nakhon Sawan and Bangrak site)|$4,886.97 or 166,157 THB * 12 months||0.00|0.00|1993884.00|1993884.00|Month|12|||||166157.00||||
1|HSRP-YMSM|-|8|6|1|Medical and lab test (Nakhon Sawan and Bangrak site)|$5,712.05 or 194,210.50 THB * 8 months|||||1553684.00|Month|8|||||194210.50|20170302|hsrp-ymsm|20170302|hsrp-ymsm
1|HSRP-YMSM|-|8|6|2|Medical and lab test (Nakhon Sawan and Bangrak site)|$5,712.05 or 194,210.50 THB * 8 months|||||571866.00|Month|4|||||142966.50|20170530|hsrp-ymsm|20170530|hsrp-ymsm
1|HSRP-YMSM|-|8|6|3|Medical and lab test (Nakhon Sawan and Bangrak site)|$5,712.05 or 194,210.50 THB * 8 months|||||173366.00|Month|2|||||86683.00|20170530|hsrp-ymsm|20170530|hsrp-ymsm
1|HSRP-YMSM|-|8|6|4|Medical and lab test (Nakhon Sawan and Bangrak site)|$5,712.05 or 194,210.50 THB * 8 months|||||0.00|Month|2|||||0.00|20170817|hsrp-ymsm|20170817|hsrp-ymsm
1|HSRP-YMSM|-|8|7|0|Pre-paid phone card|$14.71 or 500 THB * 12 months * 2 sites||0.00|0.00|12000.00|12000.00|Month|12|||||1000.00||||
1|HSRP-YMSM|-|8|8|0|Compensation for youth advocacy|$44.12 or 1,500 THB/2 staff * 15 participants||0.00|0.00|22500.00|22500.00|Case|15|||||1500.00||||
1|HSRP-YMSM|-|8|8|1|Compensation for youth advocacy|($29.42 or 1,000 THB/ staff adult, $14.70 or 500 THB/ staff young) * 50 participants|||||75000.00|Annual|||||||20170302|hsrp-ymsm|20170302|hsrp-ymsm
1|HSRP-YMSM|-|8|9|0|Compensation for community outreach staff|$294.12 or 10,000 THB * 12 months||0.00|0.00|120000.00|120000.00|Month|12|||||10000.00||||
1|HSRP-YMSM|-|8|10|0|Communication (SMS) for participants|$103 or 3,502 THB/package (estimated 3,234 SMS)||0.00|0.00|3502.00|3502.00|Time|1|0.00|0.00|0.00|0.00|3502.00||||
1|HSRP-YMSM|-|8|11|1|Study logo design||||||3500.00|Time|1|||||3500.00|20170302|hsrp-ymsm|20170302|hsrp-ymsm
1|HSRP-YMSM|-|8|12|1|Scientific meeting||||||40000.00|Time|2|15.00|2.00|600.00|0.00|2000.00|20170302|hsrp-ymsm|20170302|hsrp-ymsm
1|HSRP-YMSM|-|8|13|1|Training on Human Subject Protection||||||8400.00|Time|1|14.00|0.00|0.00|0.00|8400.00|20170302|hsrp-ymsm|20170302|hsrp-ymsm
1|HSRP-YMSM|-|8|13|4|Training on Human Subject Protection|2 times (1st Registration Fee 600 Baht x 14 persons )+(2nd Registration Fee 1,000 Baht x 7 persons)|||||15400.00|Annual|||||||20170817|hsrp-ymsm|20170817|hsrp-ymsm
1|HSRP-YMSM|-|8|14|1|Press conference for study kick-off|SCC site *$4,411.77 or 150,000 THB, NS site* $1,764.71 or 60,000 THB, Other 7,000 THB|||||217000.00|Annual|||||||20170302|hsrp-ymsm|20170302|hsrp-ymsm
1|HSRP-YMSM|-|8|15|1|Business card for YMSM Cohort roadshow||||||12000.00|Site|3|||||4000.00|20170302|hsrp-ymsm|20170302|hsrp-ymsm
1|HSRP-YMSM|-|8|16|1|Community Working Group Meeting for YMSM study in Nakhon Sawan|3 times/ year (Perdiem $17.65 or 600 THB, Trans. $5.89 or 200 THB  *15 persons)|||||40000.00|Annual|||||||20170302|hsrp-ymsm|20170302|hsrp-ymsm
1|HSRP-YMSM|-|8|17|1|Site visit to Silom Community Clinic @TropMed for YMSM Study Preparation||||||2400.00|Time|1|2.00|2.00|600.00|0.00|0.00|20170302|hsrp-ymsm|20170302|hsrp-ymsm
1|HSRP-YMSM|-|8|18|3|Training on counseling|(Registration fees)|||||10500.00|Annual|||||||20170530|hsrp-ymsm|20170530|hsrp-ymsm
1|HSRP-YMSM|-|8|19|3|Project dry-run activity||||||52000.00|Time|1|15.00|4.00|600.00|0.00|16000.00|20170530|hsrp-ymsm|20170530|hsrp-ymsm
1|HSRP-YMSM|-|8|20|4|Monitoring and evaluation||||||25000.00|Time|1|10.00|3.00|600.00|0.00|7000.00|20170817|hsrp-ymsm|20170817|hsrp-ymsm
2|HSRP-YMSM|-|1|1|0|Project coordinator|Mr. Kittichai Theankham, and Ms. Yupaporn Srikhampa  ($717.06 or 24,380 THB * 12 months * 2 people)||0.00|0.00|585120.00|585120.00|Person|2|100.00|12.00|24380.00|||20170329||20170821|
2|HSRP-YMSM|-|1|2|0|Data Analyst|TBD ($735.29 or 25,000 THB * 12 months)||0.00|0.00|300000.00|300000.00|Person|1|100.00|12.00|25000.00|||20170329||20170920|
2|HSRP-YMSM|-|1|3|0|Community Liaison|Mr. Direk Tatiew, and TBD ($147.06 or 5,000 THB * 12 months * 2 people)||0.00|0.00|120000.00|120000.00|Person|2|20.00|12.00|25000.00|||20170329||20170329|
2|HSRP-YMSM|-|1|4|0|Researcher (Dr. Thitiporn Wongsiriamnuay)|$147.06 or 4,000 THB * 12 months||0.00|0.00|48000.00|48000.00|Person|1|10.00|12.00|40000.00|||20170913||20170913|
2|HSRP-YMSM|-|1|5|0|Researcher (Dr. Pisut Chanchongkolkul)|$147.06 or 4,000 THB * 12 months||0.00|0.00|48000.00|48000.00|Person|1|10.00|12.00|40000.00|||20170818||20170913|
2|HSRP-YMSM|-|1|6|0|Researcher (Mrs. Sairung Chantaraprasat)|$147.06 or 4,000 THB * 12 months||0.00|0.00|48000.00|48000.00|Person|1|20.00|12.00|20000.00|||20170818||20170913|
2|HSRP-YMSM|-|1|7|0|Researcher (Dr. Rossaporn Kittiyawwaman)|$147.06 or 4,000 THB * 8 months||0.00|0.00|32000.00|32000.00|Person|1|10.00|8.00|40000.00|||20170821||20171013|
2|HSRP-YMSM|-|1|8|0|Researcher (Ms. Naruemon Yenyasan)|$147.06 or 4,000 THB * 8 months||0.00|0.00|32000.00|32000.00|Person|1|20.00|8.00|20000.00|||20170821||20170913|
2|HSRP-YMSM|-|1|9|0|Compensation for government officers (Nakhon Sawan)|TBD ($2.35 or 80 THB * 40 hrs * 5 people * 12 months), ($2.06 or 70 THB * 40 hrs * 2 people * 12 months)||0.00|0.00|259200.00|259200.00|Annual|||||||20170821||20170913|
2|HSRP-YMSM|-|1|10|0|Compensation for government officers (Bangrak)|TBD ($2.35 or 80 THB * 40 hrs * 6 people * 8 months), ($2.65 or 90 THB * 40 hrs * 1 person * 8 months)||0.00|0.00|182400.00|182400.00|Annual|||||||20170913||20170913|
2|HSRP-YMSM|-|2|1|0|Project Coordinator (Mr. Kittichai Theankham, Ms. Yupaporn Srikhampa)|$22.06 or 750 THB * 12 months * 2 people||0.00|0.00|18000.00|18000.00|Person|2|292560.00|5.00||||20170329||20171013|
2|HSRP-YMSM|-|2|2|0|Data Analyst|$22.06 or 750 THB * 12 months||0.00|0.00|9000.00|9000.00|Person|1|300000.00|5.00||||20170329||20170920|
2|HSRP-YMSM|-|2|3|0|Annual Medical check up|$58.82 or 2,000 THB * 3 people||0.00|0.00|6000.00|6000.00|Annual|||||||20170329||20170329|
2|HSRP-YMSM|-|3|1|0|Scientific meeting|($58.82 or 2,000 THB * 5 people * 2 days * 2 times) + ($35.29 or 1,200 THB * 5 people * 2 times)||0.00|52000.00|-0.00|52000.00|Time|2|5.00|2.00|2000.00|1200.00|0.00|20170329||20170821|
2|HSRP-YMSM|-|3|2|0|Training on counseling|($58.82 or 2,000 THB * 3 people * 3 days) + ($35.29 or 1,200 THB * 3 people * 1 trip)||0.00|21600.00|-0.00|21600.00|Time|1|3.00|3.00|2000.00|1200.00|0.00|20170329||20170821|
