CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|AmendNo|ItemDescription|ItemDescriptionD|Restrict|CashOnHand|Carryover|New|Total|Unit|Qty|OP1|OP2|OP3|OP4|OP5|_datecreated|_usercreated|_dateupdated|_userupdated
1|CARE|COACH|1|1|0|COACH-Project coordinator (Ms.Kanjana)|Coordinate with stakeholders and relevant organizations in order to achieve the objective of implementation||0.00|0.00|454548.00|454548.00|Person|1|100.00|12.00|37879.00||||||
1|CARE|COACH|1|2|0|COACH-Project coordinator assistant (Ms.Vachiraporn)|Organizae all of meeting and training : booking hotel, confirm participants and speaker, meeting logistic||0.00|0.00|276000.00|276000.00|Person|1|100.00|12.00|23000.00||||||
1|CARE|COACH|1|3|0|COACH-Compensation for Government staff|TBD:As a consultant and comment on the project||0.00|0.00|24000.00|24000.00|Annual||||||||||
1|CARE|COACH|1|4|0|COACH-Compensation for Government staff (Mr.Thitilat)|As a consultant and comment on the project, set work plan and conduct the implementation	 and support knowledge to project staff.(2.58 USD/hr x 18 hrs x 12 months x 1 person)||0.00|0.00|72000.00|72000.00|Annual||||||||||
1|CARE|COACH|1|5|0|COACH-Compensation for Government staff (Ms.Jeerattikarn)|As a consultant for Procurement||0.00|0.00|12000.00|12000.00|Annual||||||||||
1|CARE|COACH|1|6|0|COACH-Compensation for Government staff (Ms.Yupha)|As a consultant for Financial||0.00|0.00|12000.00|12000.00|Annual||||||||||
1|CARE|COACH|2|1|0|COACH-Project coordinator|Ms. Kanjana||0.00|0.00|9000.00|9000.00|Person|1|454458.00|5.00|||||||
1|CARE|COACH|2|2|0|COACH-Project coordinator assistant|Ms.Vachiraporn||0.00|0.00|9000.00|9000.00|Person|1|276000.00|5.00|||||||
1|CARE|COACH|2|3|0|COACH-Annual medical chek-up|Annual medical check up for 2 staffs  @ 2000 baht each person||0.00|0.00|4000.00|4000.00|Annual||||||||||
1|CARE|COACH|2|3|5|COACH-Annual medical chek-up|Annual medical check up for 2 staffs  @ 2000 baht each person|||||3020.00|Annual|||||||20170829||20170829|
1|CARE|COACH|3|1|0|COACH - Technical working group meeting|(Non Local , MOPH)||0.00|0.00|225000.00|225000.00|Time|1|45.00|1.00|2000.00|3000.00|0.00||||
1|CARE|COACH|3|1|1|COACH - Technical working group meeting|(Non Local , MOPH)|||||758021.00|Time|2|50.00|2.00|2000.00|3000.00|29010.50|20170210|care-coach|20170210|care-coach
1|CARE|COACH|3|1|2|COACH - Technical working group meeting|(Non Local , MOPH)|||||1099721.00|Time|4|40.00|2.00|2000.00|2800.00|2930.25|20170515|CARE-COACH|20170515|CARE-COACH
1|CARE|COACH|3|1|4|COACH - Technical working group meeting|(Non Local , MOPH)|||||995178.00|Time|4|35.00|2.00|2000.00|2800.00|10794.50|20170825|care-coach|20170825|care-coach
1|CARE|COACH|3|1|5|COACH - Technical working group meeting|(Non Local , MOPH)|||||1089184.25|Annual|||||||20170829||20170829|
1|CARE|COACH|3|2|0|COACH - Technical working group meeting|(Non Local, MOPH, Resource person)||0.00|0.00|15000.00|15000.00|Time|1|3.00|1.00|2000.00|3000.00|0.00||||
1|CARE|COACH|3|2|1|COACH - Technical working group meeting|(Non Local, MOPH, Resource person)|||||30675.00|Time|2|2.00|2.00|2000.00|3000.00|1337.50|20170210|care-coach|20170210|care-coach
1|CARE|COACH|3|2|2|COACH - Technical working group meeting|(Non Local, MOPH, Resource person)|||||56675.00|Time|4|2.00|2.00|2000.00|3000.00|168.75|20170515|CARE-COACH|20170515|CARE-COACH
1|CARE|COACH|3|2|4|COACH - Technical working group meeting|(Non Local, MOPH, Resource person)|||||41675.00|Time|2|2.00|2.00|2000.00|6418.75|0.00|20170825|care-coach|20170825|care-coach
1|CARE|COACH|3|2|5|COACH - Technical working group meeting|(Non Local, MOPH, Resource person)|||||51679.00|Time|2|2.00|2.00|2000.00|8919.75|0.00|20170829||20170829|
1|CARE|COACH|3|3|0|COACH - Onsite Supervison|(Non Local, MOPH)||0.00|0.00|180000.00|180000.00|Time|5|4.00|3.00|2000.00|3000.00|0.00||||
1|CARE|COACH|3|3|1|COACH - Onsite Supervison|(Non Local, MOPH)|||||67785.00|Time|1|5.00|3.00|2000.00|7300.00|1285.00|20170210|care-coach|20170210|care-coach
1|CARE|COACH|3|4|0|COACH - Onsite coaching|(Non Local, MOPH, Resource person)||0.00|0.00|135000.00|135000.00|Time|1|15.00|3.00|2000.00|3000.00|0.00||||
1|CARE|COACH|3|4|1|COACH - Onsite coaching|(Non Local, MOPH, Resource person)|||||10000.00|Time|1|1.00|3.00|2000.00|4000.00|0.00|20170210|care-coach|20170210|care-coach
1|CARE|COACH|3|4|2|COACH - Onsite coaching|(Non Local, MOPH, Resource person)|||||0.00|Time|0|1.00|3.00|2000.00|4000.00|0.00|20170515|CARE-COACH|20170515|CARE-COACH
1|CARE|COACH|3|5|0|COACH - Onsite coaching|(Non Local, MOPH)||0.00|0.00|270000.00|270000.00|Time|2|15.00|3.00|2000.00|3000.00|0.00||||
1|CARE|COACH|3|5|2|COACH - Onsite coaching|(Non Local, MOPH)|||||376341.00|Time|7|6.00|3.00|2000.00|2960.50|0.00|20170515|CARE-COACH|20170515|CARE-COACH
1|CARE|COACH|3|5|4|COACH - Onsite coaching|(Non Local, MOPH)|||||579787.00|Time|10|6.00|3.00|2000.00|3650.00|78.70|20170825|care-coach|20170825|care-coach
1|CARE|COACH|3|5|5|COACH - Onsite coaching|(Non Local, MOPH)|||||580069.50|Time|10|6.00|3.00|2000.00|3650.00|106.95|20170829||20170829|
1|CARE|COACH|3|6|0|COACH - Quality improvement in HIV and STI treatment and care workshop for new suveyor and new coacher|(Non Local , MOPH)||0.00|0.00|140000.00|140000.00|Time|1|20.00|2.00|2000.00|3000.00|0.00||||
1|CARE|COACH|3|6|2|COACH - Quality improvement in HIV and STI treatment and care workshop for new suveyor and new coacher|(Non Local , MOPH)|||||250000.00|Time|2|20.00|2.00|2000.00|2250.00|0.00|20170515|CARE-COACH|20170515|CARE-COACH
1|CARE|COACH|3|6|5|COACH - Quality improvement in HIV and STI treatment and care workshop for new suveyor and new coacher|(Non Local , MOPH)|||||185053.90|Time|2|15.00|2.00|2000.00|2000.00|2526.95|20170829||20170829|
1|CARE|COACH|3|7|0|COACH - Quality improvement in HIV and STI treatment and care workshop for new suveyor and new coacher|(Non Local , MOPH, Resource person)||0.00|0.00|18000.00|18000.00|Time|1|2.00|3.00|2000.00|3000.00|0.00||||
1|CARE|COACH|3|7|2|COACH - Quality improvement in HIV and STI treatment and care workshop for new suveyor and new coacher|(Non Local , MOPH, Resource person)|||||24000.00|Time|1|2.00|3.00|2000.00|6000.00|0.00|20170515|CARE-COACH|20170515|CARE-COACH
1|CARE|COACH|3|7|5|COACH - Quality improvement in HIV and STI treatment and care workshop for new suveyor and new coacher|(Non Local , MOPH, Resource person)|||||9834.00|Time|1|1.00|3.00|2000.00|3834.00|0.00|20170829||20170829|
1|CARE|COACH|3|8|0|COACH-Attend National  Forum (HA Forum / AIDS Siminar)  (Non-Local,MOPH)|Non-Local,MOPH||0.00|0.00|18000.00|18000.00|Time|1|2.00|3.00|2000.00|3000.00|0.00||||
1|CARE|COACH|3|8|2|COACH-Attend National  Forum (HA Forum / AIDS Siminar)  (Non-Local,MOPH)|Non-Local,MOPH|||||29944.30|Time|1|3.00|3.00|2000.00|3980.00|4.30|20170515|CARE-COACH|20170515|CARE-COACH
