CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|AmendNo|ItemDescription|ItemDescriptionD|Restrict|CashOnHand|Carryover|New|Total|Unit|Qty|OP1|OP2|OP3|OP4|OP5|_datecreated|_usercreated|_dateupdated|_userupdated
1|DGHP-MOPH-EOC|-|1|1|0|Project Coordinator|TBD||0.00|0.00|252000.00|252000.00|Person|1|100.00|12.00|21000.00||||||
1|DGHP-MOPH-EOC|-|1|2|0|Administrative and Financial Assistant|TBD||0.00|0.00|-0.00|0.00|Person|0|100.00|12.00|19000.00||||||
1|DGHP-MOPH-EOC|-|1|3|0|Overtime for project staff at MOPH|($2.05/70 Baht x 2 hrs x 10 Day x 12 months x 2 persons)||0.00|0.00|33600.00|33600.00|Annual||||||||||
1|DGHP-MOPH-EOC|-|1|4|0|Compensation for government officers at MOPH| ($2.05/70 Baht x 2 hrs x 10 Day x 12 months x 1 person)||0.00|0.00|16800.00|16800.00|Annual||||||||||
1|DGHP-MOPH-EOC|-|2|1|0|Project Coordinator|TBD||0.00|0.00|9000.00|9000.00|Person|1|252000.00|5.00|||||||
1|DGHP-MOPH-EOC|-|2|2|0|Administrative and Financial Assistant|TBD||0.00|0.00|-0.00|0.00|Person|0|228000.00|5.00|||||||
1|DGHP-MOPH-EOC|-|2|3|0|Medical check-up for project staff|( 2 Person X THB 2,000/58.82$)||0.00|0.00|4000.00|4000.00|Annual||||||||||
1|DGHP-MOPH-EOC|-|3|1|0|Site visit|||0.00|0.00|165000.00|165000.00|Time|3|5.00|3.00|2000.00|5000.00|0.00||||
1|DGHP-MOPH-EOC|-|3|2|0|Workshop|||0.00|0.00|540000.00|540000.00|Time|2|30.00|3.00|2000.00|3000.00|0.00||||
1|DGHP-MOPH-EOC|-|3|3|0|Annual meeting|||0.00|0.00|-0.00|0.00|Time|0|30.00|3.00|2000.00|3000.00|0.00||||
1|DGHP-MOPH-EOC|-|3|4|0|Expert meeting (Non-Local)|||0.00|0.00|28000.00|28000.00|Time|2|2.00|1.00|2000.00|5000.00|0.00||||
1|DGHP-MOPH-EOC|-|3|5|0|Local Transportation cost for MOPH and  project staff|||0.00|0.00|7200.00|7200.00|Month|12|2.00|1.00|0.00|300.00|0.00||||
