CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|SpendNo|SpendDescription|DateSpent|AmountSpent|ChequeSpent|DateAdjusted|AmountAdjusted|ChequeAdjusted|DateObligated|AmountObligated|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|DGHP-AFI|NP|1|1|1|Project manager Mr.Tuwan Simmali|20161027|30220.00|10250869|20161027|750.00|10250870|||5|20170111|DGHP-aFI-NP|20170111|DGHP-aFI-NP
1|DGHP-AFI|NP|1|1|2|Project manager Mr.Tuwan Simmali|20161027|30220.00|10250871|20161027|750.00|10250872|||6|20170111|DGHP-aFI-NP|20170111|DGHP-aFI-NP
1|DGHP-AFI|NP|1|1|3|Project manager Mr.Tuwan Simmali|20161125|30220.00|10253466|20161125|750.00|10253467|||18|20170111|DGHP-aFI-NP|20170111|DGHP-aFI-NP
1|DGHP-AFI|NP|1|1|5|Project manager Mr.Tuwan Simmali|20161228|30220.00|10253480|20161228|750.00|10253481|||28|20170112|DGHP-AFI-NP|20170112|DGHP-AFI-NP
1|DGHP-AFI|NP|1|1|6|Project manager Mr.Tuwan Simmali|20170126|30220.00|10253504|20170126|750.00|10253505|||41|20170203|DGHP-AFI-NP|20170203|DGHP-AFI-NP
1|DGHP-AFI|NP|1|1|8|Project manager Mr.Tuwan Simmali|20170223|30220.00|10253537|20170223|750.00|10253538|||61|20170306|DGHP-AFI-NP|20170306|DGHP-AFI-NP
1|DGHP-AFI|NP|1|1|9|Project manager Mr.Tuwan Simmali|20170328|30220.00|10253578|20170328|750.00|10253581|||78|20170405|DGHP-AFI-NP|20170405|DGHP-AFI-NP
1|DGHP-AFI|NP|1|1|10|Project manager Mr.Tuwan Simmali|20170425|30220.00|10253616|20170425|750.00|10253617|||94|20170502|DGHP-AFI-NP|20170502|DGHP-AFI-NP
1|DGHP-AFI|NP|1|1|11|Project manager Mr.Tuwan Simmali|20170526|30220.00|10253651|20170526|750.00|10253652|||109|20170601|DGHP-AFI-NP|20170601|DGHP-AFI-NP
1|DGHP-AFI|NP|1|1|12|Project manager Mr.Tuwan Simmali|20170627|30220.00|10311027|20170627|750.00|10311028|||133|20170704|DGHP-AFI-NP|20170704|DGHP-AFI-NP
1|DGHP-AFI|NP|1|1|13|Project manager Mr.Tuwan Simmali|20170725|30220.00|10311080|20170725|750.00|10311081|||152|20170802|DGHP-AFI-NP|20170802|DGHP-AFI-NP
1|DGHP-AFI|NP|1|1|14|Project manager Mr.Tuwan Simmali|20170828|30220.00|10311137|20170828|750.00|10311138|||173|20170905|DGHP-AFI-NP|20170905|DGHP-AFI-NP
1|DGHP-AFI|NP|1|2|1|Research assistant Ms.Pawinee Wongthawee|20161027|19320.00|10250869|20161027|750.00|10250870|||5|20170111|DGHP-aFI-NP|20170111|DGHP-aFI-NP
1|DGHP-AFI|NP|1|2|2|Research assistant Ms.Pawinee Wongthawee|20161027|19320.00|10250871|20161027|750.00|10250872|||6|20170111|DGHP-aFI-NP|20170111|DGHP-aFI-NP
1|DGHP-AFI|NP|1|2|3|Research assistant Ms.Pawinee Wongthawee|20161125|19320.00|10253466|20161125|750.00|10253467|||18|20170111|DGHP-aFI-NP|20170111|DGHP-aFI-NP
1|DGHP-AFI|NP|1|2|5|Research assistant Ms.Pawinee Wongthawee|20161228|19320.00|10253480|20161228|750.00|10253481|||28|20170112|DGHP-AFI-NP|20170112|DGHP-AFI-NP
1|DGHP-AFI|NP|1|2|6|Research assistant Ms.Pawinee Wongthawee|20170126|19320.00|10253504|20170126|750.00|10253505|||41|20170203|DGHP-AFI-NP|20170203|DGHP-AFI-NP
