CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|AmendNo|ItemDescription|ItemDescriptionD|Restrict|CashOnHand|Carryover|New|Total|Unit|Qty|OP1|OP2|OP3|OP4|OP5|_datecreated|_usercreated|_dateupdated|_userupdated
1|NCD-CVD|-|1|1|0|PI, Director, Bureau of NCD, Department of Disease Control|Dr.Sanchai Chasombat||0.00|0.00|-0.00|0.00|Person|1|0.00|12.00|0.00||||||
1|NCD-CVD|-|1|2|0|Co-PI, Head of Public Health System Development Sector, Bureau of NCD, Department of Disease Contr|Dr.Sumanee Wacharasint||0.00|0.00|-0.00|0.00|Person|1|0.00|12.00|0.00||||||
1|NCD-CVD|-|1|3|0|Project assistant|TBD||0.00|0.00|-0.00|0.00|Person|1|0.00|12.00|0.00||||||
1|NCD-CVD|-|1|4|0|Project staff|TBA||0.00|0.00|-0.00|0.00|Person|2|0.00|12.00|0.00||||||
1|NCD-CVD|-|1|5|0|Project Financial Officer (to be hired)|($441.18*50%) x 12 months||0.00|0.00|90000.00|90000.00|Person|1|50.00|12.00|15000.00||||||
1|NCD-CVD|-|1|5|1|Project Financial Officer (to be hired)|($441.18*50%) x 9 months|||||67500.00|Person|1|50.00|9.00|15000.00|||20170822|NCD-CVD|20170822|NCD-CVD
1|NCD-CVD|-|1|6|0|Compensation for government staff|($2.06 or 70 THB x 30 hours/month x 12 months) x 2 persons||0.00|0.00|50400.00|50400.00|Annual||||||||||
1|NCD-CVD|-|1|6|1|Compensation for government staff|($2.06 or 70 THB x 30 hours/month x 12 months) x 2 persons|||||0.00|Annual|||||||20170822|NCD-CVD|20170822|NCD-CVD
1|NCD-CVD|-|3|1|0|Training workshop on GlobalHeart package|MOPH - Transportation: $14.71 or 500 THB/day x 2 days x 5 persons||0.00|0.00|5000.00|5000.00|Time|1|5.00|2.00|0.00|1000.00|0.00||||
1|NCD-CVD|-|3|1|1|Training workshop on GlobalHeart package|MOPH - Transportation: $14.71 or 500 THB/day x 2 days x 5 persons|||||0.00|Time|1|5.00|2.00|0.00|0.00|0.00|20170822|NCD-CVD|20170822|NCD-CVD
1|NCD-CVD|-|3|2|0|Meeting to identify area and draft framework for CVD and HT situational analysis in the two target settings|MopH Transportation: ($14.71 x 6 persons)||0.00|0.00|-0.00|0.00|Time|1|6.00|1.00|0.00|0.00|0.00||||
1|NCD-CVD|-|3|3|0|Collecting data  and preliminary analysis in the two target settings|MoPH ($14.71x 4 persons x 2 days x 2 times)||0.00|0.00|8000.00|8000.00|Time|2|4.00|2.00|0.00|1000.00|0.00||||
1|NCD-CVD|-|3|3|1|Collecting data  and preliminary analysis in the two target settings|MoPH ($14.71x 4 persons x 2 days x 2 times)|||||0.00|Time|2|4.00|2.00|0.00|0.00|0.00|20170822|NCD-CVD|20170822|NCD-CVD
1|NCD-CVD|-|3|4|0|Collecting data  and preliminary analysis in the two target settingsCollecting data  and preliminary analysis in the two target settings|MoPH Non-local ($58.82 x 2days X 4 persons x 2times) + ($29.41 x 4 persons x 2 times)||0.00|0.00|40000.00|40000.00|Time|2|4.00|2.00|2000.00|1000.00|0.00||||
1|NCD-CVD|-|3|4|1|Collecting data  and preliminary analysis in the two target settingsCollecting data  and preliminary analysis in the two target settings|MoPH Non-local ($58.82 x 2days X 4 persons x 2times) + ($29.41 x 4 persons x 2 times)|||||0.00|Time|2|4.00|2.00|0.00|0.00|0.00|20170822|NCD-CVD|20170822|NCD-CVD
1|NCD-CVD|-|3|5|0|Transportation for project administration|($ 5.88 x 12 months)||0.00|0.00|2400.00|2400.00|Month|12|1.00|0.00|0.00|200.00|0.00||||
1|NCD-CVD|-|3|5|1|Transportation for project administration|($ 5.88 x 9 months)|||||1800.00|Month|9|1.00|0.00|0.00|200.00|0.00|20170822|NCD-CVD|20170822|NCD-CVD
1|NCD-CVD|-|3|6|0|International Travel to gain knowledge and experinces in improving CVD work in Thailand|||0.00|0.00|-0.00|0.00|Time|1|3.00|7.00|0.00|0.00|0.00||||
1|NCD-CVD|-|4|1|0|Notebook computer|($882.35 x 1 set)||0.00|0.00|30000.00|30000.00|set|1|30000.00||||||||
1|NCD-CVD|-|4|1|1|Notebook computer|($602.94 x 1 set)|||||20500.00|set|1|20500.00|||||20170822|NCD-CVD|20170822|NCD-CVD
1|NCD-CVD|-|4|2|0|All-in-one printer, scanner and copier (laser)|($88.24 x 1 set)||0.00|0.00|3000.00|3000.00|set|1|3000.00||||||||
1|NCD-CVD|-|4|2|1|All-in-one printer, scanner and copier (laser)|($367.65 x 1 set)|||||12500.00|set|1|12500.00|||||20170822|NCD-CVD|20170822|NCD-CVD
1|NCD-CVD|-|5|1|0|Office supplies and IT supplies (Paper, Printer catridges, stationeries, thumb drive etc.)|($139.88x 1 year)||0.00|0.00|4756.00|4756.00|Annual||||||||||
1|NCD-CVD|-|5|1|1|Office supplies and IT supplies (Paper, Printer catridges, stationeries, thumb drive etc.)|($2705.88x 1 year)|||||92000.00|Annual|||||||20170822|NCD-CVD|20170822|NCD-CVD
1|NCD-CVD|-|5|2|0|Program software (Microsoft office (Business), Anti-virus, etc)|($88.24 x 1 Set)||0.00|0.00|3000.00|3000.00|Set|1|3000.00||||||||
1|NCD-CVD|-|5|2|1|Program software (Microsoft office (Business), Anti-virus, etc)|($789.88 x 1 Set)|||||26856.00|Set|1|26856.00|||||20170822|NCD-CVD|20170822|NCD-CVD
1|NCD-CVD|-|8|1|0|Training workshop on Global HEARTS package|Non-MOPH ($14.71 x 2 persons x 2 days) + ( $29.41 x 2 persons)||0.00|0.00|4000.00|4000.00|Time|1|2.00|2.00|500.00|1000.00|0.00||||
1|NCD-CVD|-|8|1|1|Training workshop on Global HEARTS package|Non-MOPH ($14.71 x 2 persons x 2 days) + ( $29.41 x 2 persons)|||||0.00|Time|1|2.00|2.00|0.00|0.00|0.00|20170822|NCD-CVD|20170822|NCD-CVD
1|NCD-CVD|-|8|2|0|Training workshop on Global HEARTS package|MOPH ($14.71 x 5 persons x 2 days)||0.00|0.00|5000.00|5000.00|Time|1|5.00|2.00|500.00|0.00|0.00||||
