CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|SpendNo|SpendDescription|DateSpent|AmountSpent|ChequeSpent|DateAdjusted|AmountAdjusted|ChequeAdjusted|DateObligated|AmountObligated|Remark|_datecreated|_usercreated|_dateupdated|_userupdated
1|NCD-CVD|-|1|5|1|Project Financial Officer (to be hired) ($441.18*50%) x 12 months|20161230|7500.00|10181242|||||||20170220|NCD-CVD|20170220|NCD-CVD
1|NCD-CVD|-|1|5|2|Project Financial Officer (to be hired) ($441.18*50%) x 12 months|20170131|7500.00|10181243|||||||20170220|NCD-CVD|20170220|NCD-CVD
1|NCD-CVD|-|1|5|3|Project Financial Officer (to be hired) ($441.18*50%) x 12 months|20170228|7500.00|10181247|||||||20170303|NCD-CVD|20170303|NCD-CVD
1|NCD-CVD|-|1|5|4|Project Financial Officer (to be hired) ($441.18*50%) x 12 months|20170329|7500.00|10181252|||||||20170329|NCD-CVD|20170329|NCD-CVD
1|NCD-CVD|-|1|5|5|Project Financial Officer (to be hired) ($441.18*50%) x 12 months|20170428|7500.00|10181254|||||||20170515|NCD-CVD|20170515|NCD-CVD
1|NCD-CVD|-|1|5|6|Project Financial Officer (to be hired) ($441.18*50%) x 12 months|20170530|7500.00|10181260|||||||20170602|NCD-CVD|20170602|NCD-CVD
1|NCD-CVD|-|1|5|7|Project Financial Officer (to be hired) ($441.18*50%) x 12 months|20170629|7500.00|10214208|||||||20170711|NCD-CVD|20170711|NCD-CVD
1|NCD-CVD|-|1|5|8|Project Financial Officer (to be hired) ($441.18*50%) x 12 months|20170727|7500.00|10214210|||||||20170802|NCD-CVD|20170802|NCD-CVD
1|NCD-CVD|-|1|5|9|Project Financial Officer (to be hired) ($441.18*50%) x 9 months|20170828|7500.00|10214211|||||||20170901|NCD-CVD|20170901|NCD-CVD
1|NCD-CVD|-|4|1|2|Notebook computer ($882.35 x 1 set)|20170220|18822.43|10181244|20170220|177.57|10181244||||20170303|NCD-CVD|20170920|NCD-CVD
1|NCD-CVD|-|4|2|2|All-in-one printer, scanner and copier (laser) ($88.24 x 1 set)|20170222|12383.18|10181246|20170222|116.82|10181246||||20170303|NCD-CVD|20170920|NCD-CVD
1|NCD-CVD|-|5|1|6|Office supplies and IT supplies (Paper, Printer catridges, stationeries, thumb drive etc.) ($139.88x 1 year)|20170329|30684.36|10181251|20170329|298.56|10181251||||20170329|NCD-CVD|20170920|NCD-CVD
1|NCD-CVD|-|5|1|11|Office supplies and IT supplies (Paper, Printer catridges, stationeries, thumb drive etc.) ($139.88x 1 year)|20170518|2636.22|10181255|20170518|24.87|10181255||||20170524|NCD-CVD|20170921|NCD-CVD
1|NCD-CVD|-|5|1|12|Office supplies and IT supplies (Paper, Printer catridges, stationeries, thumb drive etc.) ($139.88x 1 year)|20170518|8295.70|10181257|20170518|78.26|10181257||||20170524|NCD-CVD|20170921|NCD-CVD
1|NCD-CVD|-|5|1|13|Office supplies and IT supplies (Paper, Printer catridges, stationeries, thumb drive etc.) ($139.88x 1 year)|20170518|8056.00|10181258|20170518|76.00|10181258||||20170518|NCD-CVD|20170921|NCD-CVD
1|NCD-CVD|-|5|2|2|Program software (Microsoft office (Business), Anti-virus, etc) ($88.24 x 1 Set)|20170605|24824.14|10214202|20170629|234.19|10214209||||20170606|NCD-CVD|20170711|NCD-CVD
1|NCD-CVD|-|8|4|1|Meeting to identify area and draft framework for CVD and HT situational analysis in the two target settings MoPH ($14.71x 6 persons)|20170220|4000.00|10181245|||||||20170303|NCD-CVD|20170303|NCD-CVD
1|NCD-CVD|-|8|4|2|Meeting to identify area and draft framework for CVD and HT situational analysis in the two target settings MoPH ($14.71x 6 persons)|20170320|4000.00|10181248|||||||20170323|NCD-CVD|20170323|NCD-CVD
1|NCD-CVD|-|8|4|3|Meeting to identify area and draft framework for CVD and HT situational analysis in the two target settings MoPH ($14.71x 6 persons)|20170321|4000.00|10181249|||||||20170327|NCD-CVD|20170327|NCD-CVD
1|NCD-CVD|-|8|4|4|Meeting to identify area and draft framework for CVD and HT situational analysis in the two target settings MoPH ($14.71x 6 persons)|20170404|4000.00|10181253|||||||20170405|NCD-CVD|20170405|NCD-CVD
1|NCD-CVD|-|8|4|5|Meeting to identify area and draft framework for CVD and HT situational analysis in the two target settings MoPH ($14.71x 6 persons)|20170609|4000.00|10214204|||||||20170612|NCD-CVD|20170612|NCD-CVD
1|NCD-CVD|-|8|4|6|Meeting to identify area and draft framework for CVD and HT situational analysis in the two target settings MoPH ($14.71x 6 persons)|20170612|4000.00|10214205|||||||20170620|NCD-CVD|20170620|NCD-CVD
1|NCD-CVD|-|8|4|8|Meeting to identify area and draft framework for CVD and HT situational analysis in the two target settings MoPH ($14.71x 6 persons)|20170628|4000.00|10214207|||||||20170711|NCD-CVD|20170711|NCD-CVD
1|NCD-CVD|-|8|6|1|Resource person for analyzing data and writing a final summary report on CVD and HT in the two target settings ($17.65/hr x 34 hrs x 2 persons)|20170831|40392.00|10214213|20170831|408.00|10214214||||20170906|NCD-CVD|20170906|NCD-CVD
1|NCD-CVD|-|8|7|5|Reporting, translating and printing the CVD and HT situation in two target setting Translation from Thai to English ($14.71 x 10 pages) + color printing ($5.88/set x 10 set)|20170831|11880.00|10214215|20170831|120.00|10214216|||pay 14/09/2560 pay 14/09/2560|20170907|NCD-CVD|20170920|NCD-CVD
1|NCD-CVD|-|8|8|1|Communication cost ($5.88x 12 months)|20170627|300.00|10214206|||||||20170711|NCD-CVD|20170711|NCD-CVD
