CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|AmendNo|ItemDescription|ItemDescriptionD|Restrict|CashOnHand|Carryover|New|Total|Unit|Qty|OP1|OP2|OP3|OP4|OP5|_datecreated|_usercreated|_dateupdated|_userupdated
1|FLU-Treatment|-|1|1|0|Project Investigator|(Dr.Narumol Sawanpanyalert)||0.00|0.00|-0.00|0.00|Person|1|20.00|0.00|0.00||||||
1|FLU-Treatment|-|1|2|0|Project Manager|(Mrs.Rojana Bamrungsak)||0.00|0.00|-0.00|0.00|Person|1|20.00|0.00|0.00||||||
1|FLU-Treatment|-|1|3|0|Project secretary|(Ms.Matinee Srisuksai)||0.00|0.00|288000.00|288000.00|Person|1|100.00|12.00|24000.00||||||
1|FLU-Treatment|-|1|4|0|Technical assistant|(Mr.Worawit Jindanoy)||0.00|0.00|247200.00|247200.00|Person|1|100.00|12.00|20600.00||||||
1|FLU-Treatment|-|1|5|0|Administrative assistant|(Ms.Sawarose Asa)||0.00|0.00|196800.00|196800.00|Person|1|100.00|12.00|16400.00||||||
1|FLU-Treatment|-|1|6|0|Compensation for government officers at MOPH|($2.06 x 35 hrs/month x 12 months x 2 persons)||0.00|0.00|58800.00|58800.00|Annual||||||||||
1|FLU-Treatment|-|2|1|0|Project secretary|(Ms.Matinee Srisuksai)||0.00|0.00|9000.00|9000.00|Person|1|288000.00|5.00|||||||
1|FLU-Treatment|-|2|2|0|Technical assistant|(Mr.Worawit Jindanoy)||0.00|0.00|9000.00|9000.00|Person|1|247200.00|5.00|||||||
1|FLU-Treatment|-|2|3|0|Administrative assistant|(Ms.Sawarose Asa)||0.00|0.00|9000.00|9000.00|Person|1|196800.00|5.00|||||||
1|FLU-Treatment|-|2|4|0|Annual medical check-up|($58.82 or 2,000 Baht x 3 persons)||0.00|0.00|6000.00|6000.00|Annual||||||||||
1|FLU-Treatment|-|3|1|0|Expert meetings|(MoPH Non-Local)||0.00|0.00|21000.00|21000.00|Time|2|5.00|1.00|1000.00|1100.00|0.00||||
1|FLU-Treatment|-|3|2|0|Scientific meeting for influenza and other EIDs treatment|(MoPH Non-Local)||0.00|0.00|168000.00|168000.00|Time|4|5.00|2.00|2000.00|4400.00|0.00||||
1|FLU-Treatment|-|3|3|0|Influenza treatment regional network|(MoPH Non-Local)||0.00|0.00|70000.00|70000.00|Time|4|5.00|1.00|2000.00|1500.00|0.00||||
1|FLU-Treatment|-|3|4|0|Local transportation cost|||0.00|0.00|40000.00|40000.00|Time|5|0.00|0.00|0.00|0.00|8000.00||||
1|FLU-Treatment|-|6|1|0|Influenza Foundation Thailand (IFT)|(World-Shaking Outbreaks)||0.00|0.00|200000.00|200000.00|Contract|1|200000.00||||||||
1|FLU-Treatment|-|8|1|0|Expert meetings|(Non-MoPH)||0.00|0.00|8400.00|8400.00|Time|2|2.00|1.00|1000.00|1100.00|0.00||||
1|FLU-Treatment|-|8|2|0|Expert meetings|(MoPH local)||0.00|0.00|20000.00|20000.00|Time|2|10.00|1.00|1000.00|0.00|0.00||||
1|FLU-Treatment|-|8|3|0|Working group meetings|(MoPH local)||0.00|0.00|36000.00|36000.00|Time|3|20.00|1.00|600.00|0.00|0.00||||
