CoAgYear|ProjectID|SubprojectID|ObjectClassID|ItemNo|AmendNo|ItemDescription|ItemDescriptionD|Restrict|CashOnHand|Carryover|New|Total|Unit|Qty|OP1|OP2|OP3|OP4|OP5|_datecreated|_usercreated|_dateupdated|_userupdated
1|DGHP-IPC|-|1|1|0|Project coordinator|(Yuthana Samanmit) ($1,029.41 x 12 months x 100% x 1 person)||0.00|0.00|420000.00|420000.00|Person|1|100.00|12.00|35000.00||||||
1|DGHP-IPC|-|1|2|0|Technical coordinator|(Peangpim Tantilipikara) ($1,029.41 x 12 months x 100% x 1 person)||0.00|0.00|420000.00|420000.00|Person|1|100.00|12.00|35000.00||||||
1|DGHP-IPC|-|1|3|0|Compensation for government officers at MOPH|($2.06 or 70 Baht x 35 hrs/month x 12 months x 3 persons)||0.00|0.00|88200.00|88200.00|Annual||||||||||
1|DGHP-IPC|-|1|4|0|OT for Fulltime staff|($1.76 or 60 Baht x 48 hrs/month x 12 months x 2 persons)||0.00|0.00|69120.00|69120.00|Annual||||||||||
1|DGHP-IPC|-|2|1|0|Project coordinator|(Yuthana Samanmit) ($441.17 x 5%) x 12 months||0.00|0.00|9000.00|9000.00|Person|1|420000.00|5.00|||||||
1|DGHP-IPC|-|2|2|0|Technical coordinator|(Peangpim Tantilipikara) ($441.17 x 5%) x 12 months||0.00|0.00|9000.00|9000.00|Person|1|420000.00|5.00|||||||
1|DGHP-IPC|-|2|3|0|Annual medical check-up for full-time staff|($58.82 or 2,000 Baht x 2 persons)||0.00|0.00|4000.00|4000.00|Annual||||||||||
1|DGHP-IPC|-|3|1|0|HAI investigation (MoPH Non-Local)|(travel $104.41 x 5 persons x 4 times) (perdiem: $58.82 x 5 persons x 8 days x 4 times) (perdiem: $58.82 x 5 persons x 8 days x 4 times)||0.00|0.00|391000.00|391000.00|Time|4|5.00|8.00|2000.00|3550.00|0.00||||
1|DGHP-IPC|-|3|1|1|HAI investigation (MoPH Non-Local)|(travel $100 x 5 persons x 3 times) (perdiem: $58.82 x 5 persons x 8 days x 3 times)|||||291000.00|Time|3|5.00|8.00|2000.00|3400.00|0.00|20170508|dghp-ipc|20170508|dghp-ipc
1|DGHP-IPC|-|3|2|0|Technical support for hospital preparedness plan responding EIDs (MoPH Non-Local)|(travel $161.76 x 5 persons x 2 times) (perdiem $58.82 x 5 persons x 2 days x 2 times) (perdiem: $58.82 x 5 persons x 2 days x 2 times)||0.00|0.00|95000.00|95000.00|Time|2|5.00|2.00|2000.00|5500.00|0.00||||
1|DGHP-IPC|-|3|2|1|Technical support for hospital preparedness plan responding EIDs (MoPH Non-Local)|(travel $14.71 x 3 persons x 1 time) (perdiem $58.82 x 3 persons x 2 days x 1 time) (perdiem: $58.82 x 5 persons x 2 days x 2 times)|||||7500.00|Time|1|3.00|1.00|2000.00|500.00|0.00|20170508|dghp-ipc|20170508|dghp-ipc
1|DGHP-IPC|-|3|3|0|Local transportation cost for meetings, training and conference|(travel $17.65 x 15 persons x 5 times)||0.00|0.00|45000.00|45000.00|Time|5|15.00|1.00|0.00|600.00|0.00||||
1|DGHP-IPC|-|3|3|2|Local transportation cost for meetings, training and conference|(travel $14.71 x 20 persons x 5 times)|||||50000.00|Time|5|20.00|1.00|0.00|500.00|0.00|20170828|dghp-ipc|20170828|dghp-ipc
1|DGHP-IPC|-|3|4|0|Transportation cost for investigation|(travel $294.12 x 4 times)||0.00|0.00|40000.00|40000.00|Time|4|1.00|1.00|0.00|10000.00|0.00||||
1|DGHP-IPC|-|3|4|1|Transportation cost for investigation|(travel $294.12 x 0 time)|||||0.00|Time|0|1.00|1.00|0.00|10000.00|0.00|20170508|dghp-ipc|20170508|dghp-ipc
1|DGHP-IPC|-|3|5|0|National IC seminar|(travel $32.35 x 10 persons) (perdiem: $58.82 x 10 persons x 5 days)||0.00|0.00|111000.00|111000.00|Time|1|10.00|5.00|2000.00|1100.00|0.00||||
1|DGHP-IPC|-|3|6|1|IPC Conference(MoPH Non-Local)|(travel $117.65 x 10 persons x 1 time) (perdiem $58.82 x 10 persons x 2 days x 1 time) (perdiem: $58.82 x 5 persons x 2 days x 2 times)|||||80000.00|Time|1|10.00|2.00|2000.00|4000.00|0.00|20170508|dghp-ipc|20170508|dghp-ipc
1|DGHP-IPC|-|3|6|2|IPC Conference(MoPH Non-Local)|(travel $102.94 x 10 persons x 1 time) (perdiem $58.82 x 10 persons x 2 days x 1 time) (perdiem: $58.82 x 5 persons x 2 days x 2 times)|||||75000.00|Time|1|10.00|2.00|2000.00|3500.00|0.00|20170828|dghp-ipc|20170828|dghp-ipc
1|DGHP-IPC|-|5|1|0|Office supplies|($117.65)||0.00|0.00|4000.00|4000.00|Time|1|4000.00||||||||
1|DGHP-IPC|-|5|1|1|Office supplies|($169.12 x 2 times)|||||11500.00|Time|2|5750.00|||||20170508|dghp-ipc|20170508|dghp-ipc
1|DGHP-IPC|-|5|2|0|Printer catridge|($171.06)||0.00|0.00|5816.00|5816.00|Time|1|5816.00||||||||
